"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","191.038333997414","645.382716979421","338.141593314986","315.856708729488","398.636801790934","482.365805480697","386.394926161808","439.3317635146","342.920209812423","238.054888584601","321.199133970675","234.70455452579","293.387942595953","129.010085115511","-82.9129651433104","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","","","","","","","","","","","2.88698530772173","3.2207850182976","3.82472306589643","4.34148763540622","6.63272916681206","9.52721629368375","8.35539983126429","10.1692158528912","12.9592333326518","17.4530817770081","20.5416977326324","19.4394643597211","20.0455492292621","18.9601059032416","17.9564782264937","20.7447933764147","23.2046429076278","27.0812634053436","29.6359341026364","28.5355636012162","34.4027193915388","32.5296189411942","35.4056764961718","31.0644406375014","30.290621928622","30.8946946633924","22.8970545278679","21.7908671904128","20.310506662924","19.2830526917624","20.082512045408","20.8314297856747","27.210292955231","38.4013227287962","36.7943176609511","36.1960354412868","39.6339524201674","42.8428435385286","48.2110623418788","49.8273824885502","48.17546846763","53.5583888084443","47.9044763659907","51.9151940472427","44.8042959110815","42.9336903180537","41.0983858554405","44.5113772401419","42.8019160675685","45.7587769153984","",
"Afghanistan","AFG","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","1.90953243522798","3.78105170268884","1.81041600912199","3.84252642394011","4.73792492722716","5.41666108948868","4.99663878278065","3.95002448390593","2.74887880444437","2.50142925701034","2.47099119145372","3.87261489760393","4.67975247223535","4.60155020877536","3.94023664358961","5.27851979507347","5.42374198719288","6.28032456193773","5.58420573743035","7.39762547363689","2.14127955538275","1.74237473923708","0.756063354316148","1.07515454487592","0.549805948666558","1.36703977372343","0.225797557021118","4.00877660599359","6.32638572808695","12.5808075732396","9.88695829654147","38.2389199730959","14.1382344487713","14.1496901294885","13.2597566656569","11.7350762097651","8.99729539509137","11.9206745877461","8.31907540457924","7.08249884649623","6.54524908337568","18.9919996893396","54.126024138045","64.9566470958247","91.7441890136152","109.732206713636","109.553350888308","183.856465427195","173.550291945223","215.290082178674","213.644360183337","223.98141176129","213.943363465224","159.671682215954","148.122598869471","124.20175767323","115.010505089474","105.017862388463","102.024585954202","112.624133577085","",
"Africa Western and Central","AFW","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","","","","","","","","","","","4.51304828756127","4.88714845145077","4.83605807882469","6.03779632536391","8.7385384767259","10.5854629974514","9.8875520086588","10.5118717873691","14.2841012510666","16.2246306612056","17.3635526966155","16.5377022270787","15.8742104344197","14.6679966962088","16.293751632184","16.3806770602789","21.8031756459233","22.9519395307671","25.9000258117554","29.5033999489144","31.6083876007516","31.1818065191171","30.6006167812159","28.5071611002678","33.40866338445","29.5620381064082","27.9348353696023","21.4223660828698","22.2827025344712","18.3422518113016","15.1528805499899","17.1471166020508","22.1668854028882","22.5062029404577","27.6208992954628","47.0171919882679","64.8629048304728","39.2031827054005","37.7715344828538","41.6828253919354","43.7739797012627","39.3764175246477","41.945126545398","37.077300025602","37.681712786184","36.4870198858425","33.5333811424505","37.5615841328656","38.0808848549052","41.2408630233022","",
"Angola","AGO","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","-0.00916600715627897","4.2574722684989","","0.00528223963610434","","0.192355250389365","0.494697978241215","3.1483572961492","0.00173250979803311","-0.0189535012723751","-0.00509306720292948","0","0.0144023856072612","0.024625677598424","0.054720590717402","0.677677149052496","2.40122087829138","6.30490744794071","6.01609017690473","5.84007784618668","6.28679720123734","6.96952196634296","6.59780978792673","7.96283348983995","9.71527552671221","9.08352353427366","12.6209821672547","12.5761891998362","14.1876829786289","14.5842992376455","22.4309042129938","22.6208038233198","27.1454686595327","22.1330050322154","33.1070930669584","29.8611611251132","31.8949284319629","23.8481852262901","21.8280416816631","24.4244759124166","18.4325220580699","16.6844170917827","23.6326343020811","27.2328795274248","61.0172473562707","21.3382959061933","8.11517494858963","12.4360456354891","17.0098727939998","10.6128224178396","10.0688264758009","7.96592671056057","9.70251427030916","10.9756441164192","8.73698992971428","13.6298528982389","7.16061810420119","7.48639133974251","5.27949134027149","1.5566232674052","",
"Albania","ALB","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7693842869698","3.20327841990639","3.36219655514364","101.613514247023","126.158021091967","83.8723028586491","50.8490025064461","56.6537777037327","71.5396586429649","53.4355083702945","85.8997645010196","157.032760999911","102.89648038153","87.7499405358119","100.740405751395","114.919120559503","99.4205705636638","104.626049048947","108.282345622282","103.91523175888","123.787284401286","121.997498187538","125.32350687627","130.621184115465","120.383355150584","93.2543805123734","97.3208349120468","116.346601389351","59.4693973842132","58.5879677696642","120.123810457602","9.95378369822205","",
"Andorra","AND","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","","","","","","","","","","","5.85865509014825","5.83798698398941","6.80784258027346","16.4138060491053","28.4646225310268","40.7189108542095","41.0133298541977","46.9078421833318","44.6494592266651","50.5142173537626","56.3957333423445","52.308152046334","42.7261701586202","35.8991453248717","32.4235810856998","35.1131146578943","32.4301726176612","33.4069550886995","25.3724850777961","23.8811420175211","57.3211626608729","50.4234930684094","35.6304063002524","30.6604201623946","31.2538922281645","23.7847735497582","24.4783280242202","22.205429599946","23.9086443933969","19.8800037590248","17.9214979341523","18.9229943842083","17.9381885109769","30.0925357260662","37.8400966291204","93.0119465236535","54.4643813613722","57.711787801359","67.1054167665383","41.3073414597695","34.7093655330752","37.6024574134577","40.7069139111969","59.2540648045988","57.4116510534302","52.3365634216461","68.6990679362574","72.8324116294376","80.8432046086489","73.9537460334378","",
"United Arab Emirates","ARE","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","4.43641317532187","5.35708992428321","3.83545032782001","3.11675845676405","4.20140662598569","0.133462343952255","8.12606624817182","9.24791511033935","6.18771216313454","4.28354088698036","22.5574809044016","20.2189125523562","14.1403393329223","1.92587897488313","1.26214812009224","7.38653496883039","1.63028307649011","47.4061913767944","2.02274578421547","7.54492634285556","4.00193419339548","0.30092961084607","4.0263870493026","3.50846626522503","2.56574722230253","2.96450296321078","23.6313130140749","74.7819080375396","-7.35679164425138","-3.43633441523126","1.93607981125575","-3.95424425533067","-4.73965485872434","-4.67987496234422","-3.499860630128","2.24007373917678","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Net ODA received per capita (current US$)","DT.ODA.ODAT.PC.ZS","2.15069183861796","2.63194938219696","2.60766275826484","1.29694773059904","-0.242388950777632","-2.57901261978211","-0.412553878536541","0.393361509155438","0.117401958083799","0.747524841220327","-0.102175143653243","0.205279864843139","0.0766635622261869","0.541177496819353","0.626416179103388","0.463933518326824","0.536461880218073","0.614746458696384","0.619340557847786","1.02908351060836","1.56578603767579","1.29964478134085","1.02415213195269","1.17626753235719","1.10098176962152","1.29334241864601","2.39975518942415","2.67409249415191","4.49904544410342","6.27128099554733","5.26171424648909","8.39716957040215","7.95512736274783","7.24018990899857","4.67754400593003","4.25460198411185","3.47383238609853","2.78371099281531","2.05082977456796","2.25901513116295","2.02219657960717","4.22903489983025","2.62700156581848","3.09074814589778","2.52883903676249","2.41354964071567","2.90685567662451","2.27369505159089","3.11924901902375","2.86615646411532","3.19477665795744","2.35207218769264","4.25943115043237","0.822928536658322","1.1434397149141","-0.437494568163978","0.0601050187408163","-0.0265638546407807","1.64312437096951","0.406108657497794","",
