"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","13204000","-13328000","-8342000","-11740000","-1048000","-6361000","-5835000","-17052000","-12573000","10428000","6260000","9892000.03051758","13451999.9389648","25706000","-909000","1663000","84315000","97146000","109371543.06","168716296.602915","242905033.204211","111936520.956725","16661731.3045","44906505.197063","271946618.716646","146610042.266883","320038305.808595","328865521.948708","670940923.1739","644938048.164134","714079034.6761","930247142.631036","887075221.977011","556221606.906278","385603868.024795","284196169.300566","190545902.876552","233874913.255981","244467362.347092","633610714.735204","1336051621.79117","1334081168.54156","1506041450.08191","1746532890.79773","1713302088.11403","1539578944.1003",
"Australia","AUS","Net foreign assets (current LCU)","FM.AST.NFRG.CN","828000000","1049544657.59243","1210000000","1618000000","1731000000","1341000000","1408000000","1285000000","1365000000","1330000000","1555000012.084","2657464308.03516","4575820876.86359","3692170064.30408","2909441479.65044","2696244078.27338","2125773331.14413","2346914302.96672","2709271686.19893","3265739207.25939","5146205321.15206","3481111038.2077","8559855686.05637","12325047370.6042","11008031767.4559","9539764704.36093","6584902279.78339","7282528559.44637","10337173661.017","1724191004.91991","-5835259772.31261","-13285010445.1774","-20627007258.394","-25080219750.868","-16062920103.8849","-24471517443.2512","-30193115589.3141","-35254317931.2617","-55427061687.0689","-51776366693.2101","-72094290436.6796","-90804001426.7192","-84302771674.4854","-106072602127.708","-137966565117.539","-177536423917.532","-228616333424.734","-323617832405.969","-331552891228.129","-379310550554.136","-337297043386.898","-317099747631.145","-331361833043.113","-334137734463.396","-332856005381.908","-325531813432.285","-316301851292.464","-322215779699.886","-359600137347.183","-137752727724.827","-461660665833.664",
"Austria","AUT","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61404661356.01","77885428977.9037","88259612302.903","97625152653.579","106413359293.496","123442186320.141","169296543476.48","188770491862.896","189329072906.558","179603367894.225","160066128482.569","149101390350.1","144461029996.151","155735701091.019","144157061876.058","124288587818.408","106360188649.512","110421472706.52","121679908151.966","140735055114.643",
"Azerbaijan","AZE","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-731242.6","2277819.8","79745530.4","136373995","97966269.6","234959023.4","119710478.966891","294853568.628084","561277478.799352","657606464.842319","525544054.076452","638440317.523401","951043169.970073","1028123988.73513","1943922892.16159","2856634428.09053","4032132433.01568","3132139195.27858","3613796427.506","7248633822.50741","7890650250.03655","9968211136.58301","10043129250.9565","10705102925.3467","7858780014.50509","15298907484.556","15242887579.7314","17248567803.4129","18761122663.0323",
"Burundi","BDI","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","575000000","801000000","531000000","346975000","-85724999.783875","-52949999.4942501","556525000.480375","961451324.058875","1291048525.90613","1526150249.06079","1024646522.21965","1991666528.83935","3728907753.8362","7488990723","5333789604.0324","4112613603.2006","3072820413.4868","614202721.368001","-2402061554.5204","-2094540822.42724","-1724963907.565","-144080802.617098","3520871873.7315","3639244893.84","4665874143.92","10941324524.296","9980933147.29","16641810805.78","23879701575","27713868250.136","38310297440.5098","46311370173.5487","38358590748.8972","36728069987.2536","22244486975.0205","24901669355.5939","21198491597.2831","6292435745.16535","16795812473.503","45112719409.8616","37423287813.0863","73873913042.306","80799584753.263","130568361786.439","256060037454.396","264042732598.714","254047883648.373","205011503652.09","197171566989.112","230520499337.785","180495382520.313","-68762409729.6852","-170769999431.602","-150523812463.452","-199572511305.439","-200234671775.7","-204383033525.561",
"Belgium","BEL","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44401635285.717","66723548003.219","80108123314.293","89513460637.9189","82914965761.804","79143921311.13","102821926031.495","103907667385.212","110247905774.525","110536013940.853","107504286043.041","106183296669.789","127883940304.826","136742077282.833","139361040144.446","132796381112.21","110235201828.814","119561773818.118","134363480871.062","150263616739.555",
"Benin","BEN","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","2390000000","2190000000","2060000000","2320000000","2580000000","1860000000","2380000000","1630000000","4008552800","6150097700","6057551414.98686","4455579884.57459","7042573342.91944","5479951997.27382","6329760525.0625","6286589060.39063","867671721.6875","-19275502488.2143","-25423272426.9534","-16001125407.9737","-40159828516.9211","-66474571384.1341","-42572826472.4812","-46858213529.0527","-39603881969.0905","-60194868153.1965","-59421794904.8791","-27334209891.6184","168215026.548185","37183091062.0653","61823418306.3038","65736992392.2908","152586428424.751","139107886349.589","165617377365.443","207129909078.139","198270281429.661","289538100725.802","346159039562.987","484240093779.38","431888718287.443","419310524057.686","359934704622.359","392598791185.944","543904661549.822","695852520254.735","732363330443.261","693946188401.24","790317583738.681","790545154064.744","878108728897.561","1016481485111.08","1190033858951.8","1272234812000.13","1106271000766.33","993846444295.215","1184960539531.72","1233081086439.26","1542765281803.27",
"Burkina Faso","BFA","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","3630000000","3180000000","2810000000","2963000000","3806000000","4191000000","5449000000","6625000000","9633551959.9966","9914719559.876","10394345259.846","14053792819.7902","16134821584.8007","14731660657.0175","11358388089.4324","4601355099.64617","-3778271992.04076","-2548663420.84034","-2432366871.01309","-2492006365.83631","-6434447453.53283","4812617704.8754","21898371950.3463","23229084372.1377","44775438491.9976","63209911580.1333","75753360714.7839","62929457724.4741","62487810647.3554","72199195164.8292","86022213758.7238","102641931839.142","156826211076.079","229121100976.023","213027086256.99","195939064955.576","175934163857.665","161162428254.839","138526407144.469","230551381810.011","248716819697.806","414783251959.946","287955376522.445","181655814183.71","247643455867.42","411416593324.993","396248472132.41","576852898095.861","675843566794.944","717355262634.669","773934550612.351","559062702173.287","452668480416.146","737107375121.178","1050690157535.2","1332670274951.1","1441168268169.45","1508092973067.07","1989273390338.33",
"Bangladesh","BGD","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","594568327.84198","885804908.11913","1283386178.93743","-578844311.145556","-454513714.248985","-867636042.028071","-4572015653.78452","-10724001924.3244","-10824885828.7802","980893600.645115","-54697266.9999981","-2765695215.39256","-2055634074.32","3019264748.448","9838460808.3485","230661014.144001","10300850462.7726","28794608197.722","50926772500","76101736766.158","114609264582.758","81489029672.5968","66988762173.6322","64459992931.226","77252944604.4436","82344411823.1127","96066967735.4803","57534225593.8017","83501213740.488","133383160775.027","164732851550.591","148144985720.135","211924205000.301","293042176259.565","300461148231.909","562843543764.546","642202833715.519","601693395881.708","927002764657.893","1272572075354.08","1511903856521.94","1913166536888.99","2197619159213.63","2252031194102.38","2181294474476.61","2258194813329.06","3113211510226.79",
"Bulgaria","BGR","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-206666579.449733","-242025783.525","-340056171.44347","-106095748.318287","91067771.1124929","274664087.977293","5226532922.38647","5621882669.08257","6489878469.80264","8135742002.30155","9393954326.40823","9726704885.35109","9874252659.83634","9320698326.46127","13261909407.8103","18276741484.137","19288526115.5194","13620841413.9898","14624677547.6022","17069031612.9754","21086216244.6775","25440498592.2785","28626293621.2018","35213711213.3846","40913479842.7355","49993983788.0264","51975962389.2449","56314030730.9914","58042659908.981","66816963923.8061",
