HDI Rank,Country,2000,,2005,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018
172, Gambia,185,,191,,178,,176,,175,,173,,174,,174,,174,,174,,174
61, Georgia,254,,175,,127,,122,,119,,116,,106,,99,,92,,86,,80
6, Germany,13,,8,,5.8,,5.8,,5.7,,5.9,,6.1,,8,,8,,7.4,,7.3
138, Ghana,216,,203,,183,,178,,173,,168,,165,,160,,156,,152,,148
32, Greece,7.3,,7.1,,4.7,,4.8,,5.5,,5.3,,5.2,,4.7,,4.4,,4.7,,4.5
74, Grenada,0,,1.7,,4.3,,2.2,,1.1,,0.5,,0,,5.2,,6.3,,3.1,,2.1
127, Guatemala,31,,36,,28,,25,,28,,27,,25,,26,,24,,25,,26
178, Guinea,228,,210,,186,,183,,180,,177,,177,,177,,176,,176,,176
175, Guinea-Bissau,305,,361,,361,,361,,361,,361,,361,,361,,361,,361,,361
122, Guyana,71,,107,,119,,118,,124,,112,,89,,93,,94,,84,,83
170, Haiti,270,,272,,229,,220,,213,,206,,200,,194,,188,,181,,176
132, Honduras,122,,56,,43,,48,,44,,42,,39,,40,,39,,37,,37
4," Hong Kong, China (SAR)",105,,96,,81,,78,,78,,77,,77,,72,,70,,68,,67
40, Hungary,35,,21,,18,,15,,14,,12,,9.4,,10,,8.7,,7.7,,6.4
4, Iceland,5.3,,3.9,,7.9,,2.8,,3.5,,3.9,,2.8,,2.4,,2.1,,4.5,,2.7
131, India,289,,279,,247,,241,,234,,228,,223,,217,,211,,204,,199
107, Indonesia,370,,360,,342,,338,,335,,332,,329,,325,,322,,319,,316
70, Iran (Islamic Republic of),23,,17,,18,,18,,18,,18,,16,,16,,15,,14,,14
123, Iraq,50,,48,,45,,45,,45,,45,,43,,43,,43,,42,,42
2, Ireland,12,,12,,9.8,,9.7,,8.5,,8.9,,7.4,,7.3,,7.2,,7.3,,7
19, Israel,10,,6.5,,5.3,,6.3,,7.6,,4.6,,5.3,,4,,3.5,,3.3,,4
29, Italy,7.1,,7.6,,8.8,,6.6,,5.9,,5.8,,6.6,,6.6,,7.2,,7.3,,7
101, Jamaica,6,,4.1,,5.8,,4.6,,4,,4.2,,3.7,,4.5,,4.4,,5.2,,2.9
19, Japan,36,,24,,20,,20,,19,,18,,18,,16,,16,,15,,14
102, Jordan,7.5,,8,,5.8,,5.4,,5.1,,5.1,,5.4,,5.7,,5.4,,6.7,,5
51, Kazakhstan,169,,187,,145,,136,,122,,106,,91,,81,,73,,69,,68
143, Kenya,451,,630,,531,,506,,471,,443,,423,,380,,348,,319,,292
134, Kiribati,373,,449,,347,,409,,407,,472,,473,,559,,575,,422,,349
.., Korea (Democratic People's Rep. of),513,,513,,513,,513,,513,,513,,513,,513,,513,,513,,513
23, Korea (Republic of),49,,94,,95,,99,,93,,88,,85,,79,,76,,70,,66
64, Kuwait,29,,26,,37,,24,,25,,23,,23,,22,,24,,28,,23
120, Kyrgyzstan,145,,143,,120,,125,,127,,142,,126,,136,,133,,124,,116
137, Lao People's Democratic Republic,330,,270,,221,,213,,204,,197,,189,,182,,175,,168,,162
37, Latvia,96,,72,,50,,47,,53,,49,,42,,40,,37,,32,,29
92, Lebanon,17,,9.6,,12,,11,,13,,13,,12,,12,,11,,10,,11
165, Lesotho,992,,1280,,1120,,1050,,985,,916,,852,,788,,724,,665,,611
175, Liberia,240,,267,,293,,299,,304,,308,,308,,308,,308,,308,,308
105, Libya,40,,40,,40,,40,,40,,40,,40,,40,,40,,40,,40
34, Lithuania,87,,73,,64,,65,,62,,60,,57,,55,,54,,51,,44
23, Luxembourg,12,,9.3,,6.6,,5.5,,9.7,,8.1,,5,,6.1,,5.8,,6.2,,8
164, Madagascar,293,,262,,241,,238,,236,,233,,233,,233,,233,,233,,233
174, Malawi,386,,398,,310,,283,,257,,236,,218,,204,,193,,185,,181
62, Malaysia,75,,69,,75,,80,,86,,91,,93,,90,,94,,94,,92
95, Maldives,59,,48,,32,,29,,35,,34,,36,,42,,44,,34,,33
184, Mali,77,,69,,63,,62,,61,,60,,58,,57,,56,,55,,53
28, Malta,4.7,,6.3,,8.1,,8.3,,11,,13,,12,,8.5,,13,,11,,14
117, Marshall Islands,84,,251,,428,,307,,320,,327,,310,,300,,388,,439,,434
157, Mauritania,250,,181,,135,,128,,121,,115,,111,,107,,102,,97,,93
66, Mauritius,17,,13,,12,,11,,13,,13,,13,,13,,12,,12,,13
74, Mexico,23,,22,,22,,21,,22,,22,,22,,22,,22,,23,,23
136, Micronesia (Federated States of),106,,115,,199,,179,,172,,179,,219,,119,,169,,156,,108
90, Moldova (Republic of),80,,142,,116,,119,,124,,127,,115,,102,,101,,95,,86
.., Monaco,0,,1.6,,3.2,,2.5,,1.5,,0.6,,0,,0,,0,,0,,0
99, Mongolia,428,,428,,428,,428,,428,,428,,428,,428,,428,,428,,428
48, Montenegro,..,,29,,20,,20,,18,,22,,21,,15,,16,,14,,15
121, Morocco,115,,99,,101,,100,,99,,99,,101,,102,,103,,100,,99
181, Mozambique,513,,523,,545,,548,,551,,551,,551,,551,,551,,551,,551
147, Myanmar,555,,545,,500,,476,,453,,431,,411,,391,,372,,355,,338
130, Namibia,985,,1250,,892,,815,,754,,710,,674,,639,,604,,565,,524
.., Nauru,45,,128,,34,,57,,68,,79,,89,,111,,110,,98,,54
142, Nepal,163,,163,,163,,162,,161,,159,,158,,156,,154,,152,,151
8, Netherlands,9,,7.9,,7.1,,6.7,,6.3,,5.7,,5.5,,5.8,,5.9,,5.2,,5.3
14, New Zealand,10,,9.2,,7.9,,7.9,,7.5,,6.9,,7.5,,7.3,,7.3,,7.4,,7.3
128, Nicaragua,59,,44,,53,,57,,58,,57,,54,,50,,46,,44,,41
189, Niger,191,,143,,113,,109,,105,,102,,98,,95,,93,,90,,87
161, Nigeria,219,,219,,219,,219,,219,,219,,219,,219,,219,,219,,219
82, North Macedonia,39,,36,,23,,20,,21,,19,,17,,17,,16,,13,,13
1, Norway,5.6,,6.9,,6.9,,7.4,,7.9,,8.2,,6.8,,6.3,,6.1,,5.1,,4.1
60, Oman,16,,12,,12,,12,,13,,10,,10,,8.8,,8.9,,6.7,,5.9
154, Pakistan,275,,276,,276,,276,,276,,275,,270,,270,,268,,267,,265
50, Palau,64,,58,,122,,78,,26,,52,,91,,91,,149,,129,,109
115," Palestine, State of",3.2,,1,,1,,1,,0.9,,1.1,,1.2,,1.1,,1,,0.8,,0.8
57, Panama,48,,61,,53,,55,,50,,47,,47,,52,,56,,57,,52
155, Papua New Guinea,432,,432,,432,,432,,432,,432,,432,,432,,432,,432,,432
103, Paraguay,42,,43,,42,,43,,43,,40,,39,,40,,41,,43,,43
79, Peru,183,,151,,134,,133,,126,,125,,125,,122,,120,,119,,123
107, Philippines,590,,539,,531,,535,,539,,543,,546,,550,,554,,554,,554
35, Poland,33,,25,,21,,24,,21,,21,,20,,19,,19,,17,,16
38, Portugal,47,,36,,28,,27,,27,,26,,24,,23,,20,,20,,24
45, Qatar,54,,43,,36,,31,,38,,30,,22,,24,,22,,25,,31
49, Romania,143,,140,,104,,96,,92,,89,,85,,82,,74,,72,,68
52, Russian Federation,95,,87,,85,,81,,76,,73,,70,,67,,63,,59,,54
160, Rwanda,96,,102,,83,,80,,72,,66,,65,,61,,62,,58,,59
74, Saint Kitts and Nevis,0,,0,,4.7,,2.3,,4.6,,0,,16,,4.1,,0,,2.2,,0
86, Saint Lucia,6.6,,9.9,,5.9,,4.6,,7.2,,5.8,,3.9,,9,,1.9,,7,,3.2
97, Saint Vincent and the Grenadines,17,,7.4,,16,,18,,32,,3.2,,5.3,,7.4,,6.3,,2.1,,6.3
111, Samoa,28,,15,,8.7,,12,,13,,13,,14,,11,,7.7,,18,,6.4
.., San Marino,4.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
135, Sao Tome and Principe,119,,151,,117,,129,,107,,134,,141,,156,,162,,117,,124
40, Saudi Arabia,19,,17,,19,,16,,15,,13,,12,,12,,10,,10,,10
168, Senegal,155,,141,,132,,130,,129,,127,,125,,123,,122,,120,,118
64, Serbia,..,,40,,30,,28,,24,,27,,23,,21,,19,,19,,17
67, Seychelles,28,,18,,21,,26,,25,,30,,16,,9.7,,14,,19,,18
182, Sierra Leone,305,,316,,317,,316,,314,,313,,310,,307,,304,,301,,298
11, Singapore,49,,37,,35,,36,,49,,46,,45,,45,,50,,47,,47
39, Slovakia,22,,15,,8.7,,8,,6.8,,8.4,,6.8,,6.5,,5.9,,4.8,,5.8
22, Slovenia,21,,16,,9.5,,10,,7.5,,7.7,,7.9,,7.2,,6.5,,6.2,,5.3
151, Solomon Islands,91,,106,,80,,92,,81,,79,,73,,86,,81,,73,,74
.., Somalia,285,,285,,286,,286,,286,,285,,274,,274,,270,,266,,262
114, South Africa,585,,932,,948,,922,,892,,849,,820,,759,,618,,567,,520
185, South Sudan,..,,..,,..,,146,,146,,146,,146,,146,,146,,146,,146
25, Spain,23,,19,,17,,16,,14,,13,,12,,9.9,,12,,11,,9.4
72, Sri Lanka,66,,66,,66,,66,,66,,66,,65,,65,,65,,64,,64
170, Sudan,..,,..,,..,,105,,103,,100,,94,,88,,82,,77,,71
97, Suriname,24,,29,,46,,29,,30,,32,,33,,32,,25,,28,,38
7, Sweden,5.4,,6.9,,7.5,,6.5,,7.1,,7.3,,7.5,,9.2,,8.2,,5.7,,5.5
2, Switzerland,9.3,,8,,7.5,,7.6,,6,,6.6,,5.9,,7.4,,7.9,,7.2,,6.4
151, Syrian Arab Republic,39,,29,,21,,21,,18,,17,,23,,20,,22,,20,,19
125, Tajikistan,219,,196,,128,,117,,108,,100,,91,,86,,85,,85,,84
163, Tanzania (United Republic of),503,,510,,426,,401,,378,,336,,327,,306,,287,,269,,253
79, Thailand,241,,224,,181,,176,,172,,170,,167,,163,,160,,156,,153
141, Timor-Leste,..,,498,,498,,498,,498,,498,,498,,498,,498,,498,,498
167, Togo,52,,71,,76,,73,,69,,64,,58,,52,,46,,41,,36
104, Tonga,28,,21,,12,,10,,12,,11,,15,,16,,9.1,,12,,10
67, Trinidad and Tobago,18,,15,,19,,19,,23,,21,,21,,16,,18,,17,,21
95, Tunisia,26,,26,,28,,35,,37,,35,,35,,38,,38,,34,,35
54, Turkey,33,,33,,25,,24,,22,,20,,20,,18,,18,,17,,16
111, Turkmenistan,112,,84,,79,,66,,70,,71,,58,,49,,46,,43,,46
.., Tuvalu,196,,138,,153,,130,,203,,191,,157,,207,,205,,233,,270
159, Uganda,276,,233,,210,,207,,205,,203,,202,,202,,201,,201,,200
74, Ukraine,114,,127,,110,,105,,101,,96,,94,,91,,87,,84,,80
31, United Arab Emirates,4.2,,2.6,,1.8,,1.3,,1,,1,,0.8,,0.8,,0.8,,0.8,,1
13, United Kingdom,12,,15,,14,,15,,14,,13,,11,,10,,9.8,,8.8,,8
17, United States,6.7,,5.5,,4.2,,3.9,,3.6,,3.3,,3.2,,3.2,,3.1,,3.1,,3
55, Uruguay,22,,22,,24,,28,,27,,30,,29,,30,,30,,31,,33
106, Uzbekistan,99,,120,,97,,93,,89,,86,,82,,79,,76,,73,,70
140, Vanuatu,110,,83,,69,,67,,65,,62,,63,,63,,56,,51,,46
113, Venezuela (Bolivarian Republic of),33,,32,,28,,27,,28,,28,,27,,30,,34,,45,,48
117, Viet Nam,296,,266,,231,,225,,218,,212,,205,,199,,193,,188,,182
179, Yemen,116,,80,,52,,50,,48,,48,,48,,48,,48,,48,,48
146, Zambia,759,,602,,495,,475,,456,,437,,406,,391,,376,,361,,346
150, Zimbabwe,605,,588,,416,,384,,355,,304,,278,,242,,233,,221,,210
19, Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
,Human Development,,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
 ,Very high human development,32.9,,30.2,,26.8,,26.1,,24.9,,23.7,,22.8,,21.7,,21.2,,20.1,,19.2
 ,High human development,144,,138.5,,127.5,,126.3,,124.4,,121.3,,119.4,,116.9,,112.9,,111.3,,112.1
 ,Medium human development,279.1,,274.2,,247.7,,242.5,,236.5,,231.1,,226,,220.5,,215.1,,209.3,,207.6
 ,Low human development,276.9,,255.4,,230.6,,224.6,,220.1,,214,,210.2,,205.5,,201.2,,197.2,,196.2
 ,Developing Countries,203.8,,198.3,,181.5,,178.6,,175.1,,171.1,,168,,164.3,,160.1,,156.9,,154.9
,Regions,,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
