"country","year","greenhouse_gas_per_capita","public_expenditure_health_%gdp","fertiltiy_rate","oop_expenditure_healthcare_per_capita","youth_mortality_rate","burden_of_disease","hdi"
"Sweden",2011,7.28,9.91469179,1.9,705.42914,0.38973,18662.896589773,0.932
"Switzerland",2011,6.71,7.20092736,1.51,1673.4331,0.52964,18061.2329518942,0.943
"Tajikistan",2011,1.96,1.71027997,3.5,81.054184,4.59868,36234.7527687366,0.647
"Tanzania",2011,4.93,2.48661514,5.36,35.967407,8.21548,56118.1364093603,0.533
"Thailand",2011,6.39,3.20115627,1.54,62.827938,1.773523,24375.9868093613,0.748
"Togo",2011,3.41,1.65533746,4.8,47.127346,11.032504,60666.7367953738,0.5
"Tonga",2011,1.48,3.22352439,3.86,27.40226,2.113525,33339.4800924047,0.724
"Trinidad and Tobago",2011,44.78,2.68015137,1.8,547.49493,3.351097,29058.9581588947,0.785
"Tunisia",2011,3.6,4.16722401,2.18,270.70926,2.00406,25374.4572019718,0.732
"Turkey",2011,5.92,4.20585981,2.14,146.49854,2.153377,24724.8725476041,0.787
"Turkmenistan",2011,17.13,1.26809727,2.89,378.66846,6.127,36822.9497957896,0.705
"Uganda",2011,2.29,2.63326718,6.06,60.700172,8.85736,60754.1365592044,0.508
"Ukraine",2011,8.97,3.72982124,1.47,214.07457,1.3672,32884.7058616126,0.746
"United Arab Emirates",2011,22.99,2.73248804,1.84,361.65524,0.998589,32003.9891730303,0.862
"United Kingdom",2011,8.98,7.76541129,1.89,306.56232,0.58955,20334.3365958644,0.92
"United States",2011,21.09,8.07412666,1.9,991.86188,0.849064,23741.7767764918,0.922
"Uruguay",2011,9.98,5.52095069,2.06,264.47824,1.21796,24976.7996424561,0.802
"Uzbekistan",2011,6.16,2.86390062,2.42,111.34094,3.708508,38147.2358595588,0.703
"Vanuatu",2011,1.82,3.32017835,3.46,8.6588221,3.454178,48997.5887424863,0.6
"Venezuela",2011,9.36,2.33545129,2.44,423.21768,1.95502,27747.1410146248,0.766
"Vietnam",2011,3.19,2.80500187,1.95,101.79681,2.612055,27976.4355699034,0.689
"Yemen",2011,1.65,1.3504469,4.55,131.55481,6.277265,44634.7503698883,0.462
"Zambia",2011,22.43,2.14893195,5.32,53.550297,9.389524,67416.7289940016,0.586
"Zimbabwe",2011,4.97,2.12115,4.02,53.536072,9.562516,84493.1789253878,0.532
"Afghanistan",2010,0.62,2.8553765,5.82,104.48988,10.0465,67908.0081905116,0.493
"Albania",2010,2.92,2.47656803,1.65,229.87502,1.47664,24260.8818405595,0.776
"Algeria",2010,4.64,3.59320852,2.89,186.36929,3.158218,26834.7492570509,0.749
"Angola",2010,1.71,2.06125466,6.16,30.596596,14.177371,62840.8882861811,0.572
"Argentina",2010,8.85,4.16348234,2.37,311.24582,1.70623,25894.5094924236,0.822
"Armenia",2010,3.96,1.92271406,1.55,214.79375,1.9964,27681.600337874,0.748
"Australia",2010,35.5,6.12733425,1.93,709.60626,0.57952,19446.6732197875,0.936
"Austria",2010,11.26,8.40000694,1.44,751.97394,0.52957,20048.1213192527,0.903
"Azerbaijan",2010,5.6,1.16802072,1.96,578.08167,4.057658,37788.9818628656,0.758
"Bahamas",2010,12.67,3.4608155,1.87,482.12585,1.476373,29326.3970769065,0.807
"Bahrain",2010,24.92,2.59337939,2.14,254.92482,1.06813,23032.7808105691,0.832
"Bangladesh",2010,1.17,1.05017299,2.28,43.12566,5.82326,40092.4243925229,0.592
"Belarus",2010,11.4,4.31480555,1.54,169.614,0.7489,34765.4239816442,0.805
"Belgium",2010,12.67,7.89670273,1.81,728.513,0.54955,20923.3558361487,0.913
"Belize",2010,4.66,3.85838187,2.72,106.71294,2.24335,30738.920330514,0.709
"Benin",2010,3.59,2.68857036,5.36,32.842232,13.717824,58100.971923694,0.508
"Bhutan",2010,4.43,4.54479496,2.38,33.210854,5.159625,34085.9555029966,0.603
"Bolivia",2010,10.37,3.66299673,3.2,86.143646,5.29642,35329.26497969,0.681
"Bosnia and Herzegovina",2010,6.88,6.78892133,1.31,252.71797,0.839136,24708.9275383157,0.755
"Botswana",2010,40.52,3.54446178,2.88,40.362606,5.712076,60698.3367366472,0.706
"Brazil",2010,14.75,3.78613962,1.81,332.58755,2.154577,30094.494994272,0.757
"Brunei",2010,36.34,2.52002444,1.84,148.54584,1.30735,25898.7423893711,0.852
"Bulgaria",2010,9.19,4.0342301,1.49,457.06851,1.307432,28306.004507254,0.807
"Burkina Faso",2010,2.78,3.97117977,5.87,24.793354,14.279378,67362.4159856701,0.412
"Burundi",2010,0.69,5.49965674,6.26,23.860212,11.724542,66271.1498051963,0.418
"Cambodia",2010,8.82,1.440775,2.88,88.687172,5.223592,42710.9859536659,0.571
"Cameroon",2010,5,1.50760228,5.11,93.019196,13.833344,65750.6474931991,0.548
"Canada",2010,22.47,7.88439634,1.64,651.88129,0.669384,19502.8071432492,0.92
"Central African Republic",2010,114.97,1.97714643,5.22,15.118319,16.711781,107500.179538472,0.357
"Chad",2010,9.18,1.18513717,6.59,51.879005,17.78185,74120.1533873915,0.407
"Chile",2010,6.73,3.29492563,1.88,428.65735,1.038592,22875.6745620651,0.84
"China",2010,8.36,2.6538201,1.59,156.75311,1.865418,24831.0216121355,0.743
"Colombia",2010,3.63,4.97565294,2.01,128.20984,2.18371,23992.0905604978,0.742
"Comoros",2010,0.79,1.4544089,4.92,95.044968,9.325789,43072.1936521228,0.502
"Congo",2010,8.04,1.38657897,4.95,43.390041,7.62166,62116.5953596394,0.613
"Costa Rica",2010,2.57,7.09261705,1.92,262.32294,1.1881,21185.1004058434,0.788
"Cote d'Ivoire",2010,1.59,1.67617217,5.22,94.139481,13.588286,67927.3527349049,0.478
"Croatia",2010,7.06,7.06496421,1.47,223.55154,0.66934,23820.3143790612,0.827
"Czechia",2010,13.91,6.22493667,1.47,293.24176,0.449626,22994.9244749654,0.882
"Democratic Republic of Congo",2010,12.39,1.06259561,6.47,8.9569407,14.341251,70978.1649238996,0.444
"Denmark",2010,11.48,9.43381754,1.88,613.65515,0.489672,20752.6818658816,0.926
"Djibouti",2010,3.09,5.1499391,3.3,31.363789,7.937757,47772.1269329903,0.47
"Dominican Republic",2010,3.2,2.26396485,2.6,267.18427,3.796966,30617.6476347746,0.729
"Ecuador",2010,3.37,2.45940763,2.66,340.91644,2.22268,28768.8315612868,0.743
"Egypt",2010,3.33,1.87259285,3.19,264.05176,3.40492,39019.3089699977,0.691
"El Salvador",2010,1.94,4.29012069,2.27,166.2896,2.38127,30449.7560137511,0.674
"Equatorial Guinea",2010,6.41,3.05717111,5.21,348.05371,13.3003,54758.4005841102,0.593
"Eritrea",2010,1.1,1.42486356,4.61,25.1938,6.956497,69683.1506055957,0.433
"Estonia",2010,17.1,4.9273468,1.64,300.28091,0.619235,25848.7141540997,0.866
"Eswatini",2010,2.81,5.96526639,3.53,66.084999,10.46923,112818.929381477,0.584
"Ethiopia",2010,2.08,3.71673604,4.92,24.326283,10.47749,53242.7367778449,0.451
"Fiji",2010,2.52,2.96520594,2.67,59.64357,2.91728,41883.768781958,0.738
"Finland",2010,15.73,6.73883183,1.87,687.8819,0.3997,21166.7361513892,0.915
"France",2010,8.18,8.67910496,1.99,291.53894,0.509622,19139.5767537141,0.898
"Gabon",2010,20.76,2.44092455,4.08,94.996666,7.92239,54641.0779118726,0.694
"Gambia",2010,2.06,3.43308687,5.71,19.522827,9.578296,52499.1175711585,0.457
"Georgia",2010,3.34,2.28992913,1.92,424.93994,1.925518,30109.4980190615,0.771
"Germany",2010,11.59,8.5757308,1.39,613.67511,0.509622,19889.6203959124,0.933
"Ghana",2010,4.34,3.82937674,4.27,85.849533,8.6314,55457.5159343744,0.585
"Greece",2010,9.67,6.21635375,1.41,758.56049,0.499571,20008.8736427693,0.866
"Grenada",2010,6.52,3.10052625,2.24,350.44907,1.686282,27929.2528409318,0.767
"Guatemala",2010,2.07,2.37549694,3.38,238.4673,3.97407,34128.8710792483,0.645
"Guinea",2010,9.29,2.01176889,5.34,33.824299,13.28624,68951.6300177505,0.443
"Guinea-Bissau",2010,4.84,1.84945341,5.05,38.860737,13.347364,73997.7507965271,0.449
"Guyana",2010,7.95,4.46058371,2.66,113.11446,4.212328,40318.9855647118,0.651
"Haiti",2010,0.85,1.41058325,3.33,39.929726,23.441518,181259.139058841,0.493
"Honduras",2010,2.4,4.21561072,2.87,157.0587,2.887439,31213.7268545236,0.609
"Hungary",2010,6.63,5.11749481,1.33,444.19452,0.72922,27247.3864872315,0.834
"Iceland",2010,16.95,7.11606407,2.07,615.38928,0.36973,17871.4901947904,0.927
"India",2010,2.25,1.16101581,2.6,94.928696,6.68744,45021.4333943551,0.627
"Indonesia",2010,3.07,1.03300414,2.48,158.34335,3.929084,36329.8774816883,0.686
"Iraq",2010,4.78,2.82324919,4.56,105.08,4.296753,33515.9382522457,0.668
"Ireland",2010,14.38,6.1014399,2,630.02258,0.51958,19844.4539751232,0.929
"Israel",2010,10.37,4.61227648,3,495.5372,0.569494,18562.2212814084,0.901
"Italy",2010,8.26,7.2566735,1.43,646.29852,0.48964,18113.6618867409,0.876
"Jamaica",2010,5.18,2.99010608,2.17,128.25056,2.184016,26419.3072072551,0.73
"Japan",2010,10.54,7.86196937,1.37,465.16199,0.409712,17011.7916755247,0.905
"Jordan",2010,3.56,5.92129561,3.66,170.20227,2.560294,25839.5426568882,0.733
"Kazakhstan",2010,21.28,2.52721801,2.67,255.27756,2.422044,39229.214464775,0.797
"Kenya",2010,1.27,1.41873555,4.37,44.778225,6.979336,56534.8124867433,0.578
"Kuwait",2010,31.28,2.33448919,2.22,282.96863,1.307516,20472.308614266,0.802
"Kyrgyzstan",2010,2.39,3.71014072,2.98,82.260178,3.280232,36678.0408466151,0.666
"Laos",2010,6.09,1.27818069,3.15,43.03619,9.658496,50628.962641566,0.593
"Latvia",2010,6.99,3.94025815,1.51,397.87656,1.008206,30123.9137302698,0.841
"Lesotho",2010,1.68,8.07992507,3.3,40.887192,11.154096,102223.607552169,0.511
"Liberia",2010,0.7,2.74092589,5.02,22.771194,11.7355,59110.9779089581,0.432
"Libya",2010,12.61,2.13678965,2.41,287.18723,2.210704,30246.1761116707,0.694
"Lithuania",2010,8.65,5.02095568,1.51,373.14536,0.81868,30226.8470305513,0.852
"Luxembourg",2010,25.71,6.59470188,1.58,623.17242,0.35982,19949.8175664521,0.899
"Madagascar",2010,5.54,2.60655861,4.6,26.364428,7.72803,57295.6650278444,0.514
"Malawi",2010,1.41,6.33925489,5.31,8.008707,10.418494,78350.6194564212,0.47
"Malaysia",2010,9.38,2.28629659,2.15,230.58519,1.027998,25930.581624659,0.795
"Mali",2010,5.1,1.71786093,6.55,56.174297,15.964111,66073.0571528587,0.418
"Mauritania",2010,3.59,1.52105378,4.98,69.633797,10.989793,41236.5157208379,0.514
"Mexico",2010,5.48,3.10329567,2.34,405.45795,2.005156,26689.3878981833,0.767
"Moldova",2010,3.18,5.62147875,1.27,188.2865,1.995184,36478.5546755889,0.693
"Mongolia",2010,9.16,2.65447806,2.64,79.235489,3.058428,44471.2475543644,0.737
"Morocco",2010,2.35,2.06757204,2.58,208.92805,3.5872,34955.8946368228,0.655
"Mozambique",2010,15.68,3.01810283,5.56,3.8038766,12.112769,85103.6655342502,0.432
"Namibia",2010,17.32,4.59442937,3.61,74.805412,6.598978,63984.2099398409,0.642
"Nepal",2010,1.21,2.86731707,2.61,54.404724,5.443733,39070.4466340081,0.566
"Netherlands",2010,12.78,9.08129607,1.8,456.33771,0.529604,19464.7618730834,0.926
"New Zealand",2010,17.5,9.30546187,2.12,378.81232,0.739256,21436.5964481757,0.914
"Nicaragua",2010,2.75,4.28814723,2.43,113.92122,2.69983,24694.8683736976,0.652
"Niger",2010,0.68,2.16243694,7.49,29.962719,16.470316,64052.3407465992,0.347
"Nigeria",2010,1.84,0.9085807,5.84,127.87976,15.109888,65528.5843908725,0.527
"North Macedonia",2010,5.92,4.29290363,1.47,286.95697,1.18844,24796.5598737559,0.754
"Norway",2010,13.44,7.83922869,1.95,782.51324,0.409712,20219.9292358361,0.948
"Oman",2010,19.41,2.26972904,2.9,126.85161,1.397216,27265.670337775,0.822
"Pakistan",2010,2.08,0.95423447,3.86,76.71701,10.089212,51880.0085876122,0.551
"Panama",2010,4.23,5.65002185,2.62,312.85446,2.352965,24354.6555557366,0.781
"Papua New Guinea",2010,1.5,3.18341092,3.99,7.7645211,7.62028,71226.9095632754,0.542
"Paraguay",2010,8.06,3.36090276,2.73,204.26128,2.989821,28594.6719774663,0.702
"Peru",2010,2.44,2.79428723,2.55,183.48907,2.451271,25078.2046927962,0.745
"Philippines",2010,1.71,1.57369151,3.16,129.70815,3.866212,38023.7102808929,0.693
"Poland",2010,11.21,4.90280743,1.37,321.18701,0.73916,25037.7644494848,0.855
"Portugal",2010,6.78,7.17149244,1.33,659.6709,0.509532,20521.6805145775,0.842
"Qatar",2010,55.29,1.62083086,2.07,410.81805,1.127998,23960.7371032852,0.854
"Romania",2010,5.82,4.68660531,1.47,192.06839,1.397125,29225.725548847,0.805
"Russia",2010,18.22,3.69694549,1.57,384.86298,1.346776,39623.0227418447,0.813
"Rwanda",2010,0.64,2.92801355,4.52,28.842386,8.329912,49861.8465619338,0.51
"Saint Lucia",2010,3.27,4.03404518,1.54,426.35733,2.13448,26856.5279522116,0.744
"Saint Vincent and the Grenadines",2010,2.76,3.85823608,2.07,82.565399,2.481472,30428.9070413899,0.72
"Samoa",2010,1.83,4.9852244,4.34,36.420982,2.242746,30671.0422035765,0.706
"Sao Tome and Principe",2010,1.06,2.53733116,4.79,37.179825,5.56177,40218.6808415576,0.58
"Senegal",2010,4.13,2.36854781,5.06,37.310833,8.601015,46983.7334002815,0.492
"Seychelles",2010,9.51,3.20885975,2.36,28.787239,1.705882,28486.6520502625,0.791
"Sierra Leone",2010,1.8,2.39694063,5.2,60.332672,18.880608,76698.0023953981,0.413
"Singapore",2010,10.39,1.37142862,1.26,934.23163,0.369748,16232.8764318808,0.929
"Slovenia",2010,10.69,6.72862594,1.52,302.0679,0.41968,21527.3177353866,0.889
"Solomon Islands",2010,8.49,7.02289513,4.24,5.8730836,3.047407,47987.4794600081,0.546
"South Korea",2010,12.69,3.85513333,1.19,737.09222,0.529508,19272.4103615972,0.898
"Spain",2010,7.61,7.17324211,1.37,599.4671,0.47962,17963.0374765787,0.885
"Sri Lanka",2010,1.44,1.55380394,2.2,95.517853,1.545476,27158.4525910791,0.766
"Sudan",2010,14.18,2.69846891,4.88,142.22874,8.78784,45504.0282049138,0.497
"Sweden",2010,7.62,7.71831033,1.99,601.46234,0.38973,18776.0366287058,0.929
"Switzerland",2010,7.3,7.09727006,1.5,1601.347,0.549586,18305.1339649754,0.942
"Tajikistan",2010,1.93,1.59468331,3.51,83.360191,4.796888,36441.6434302237,0.645
"Tanzania",2010,5.08,2.07289734,5.43,33.617466,8.627974,58210.851324852,0.528
"Thailand",2010,6.27,2.84136038,1.55,64.944138,1.843084,24795.4744808203,0.741
"Togo",2010,3.47,1.93858514,4.87,46.834171,11.341288,62859.8747870382,0.495
"Tonga",2010,1.46,3.69486834,3.91,27.904327,2.103562,33497.3252245783,0.721
"Trinidad and Tobago",2010,43.72,3.01833869,1.81,524.02692,3.43058,30093.6492526655,0.783
"Tunisia",2010,3.54,3.82921248,2.14,253.3168,2.103562,25451.5696761007,0.728
"Turkey",2010,5.84,4.41227044,2.16,148.86842,2.322128,25240.913096529,0.783
"Turkmenistan",2010,17.18,1.22363787,2.83,345.55246,6.325646,37735.4360112506,0.701
"Uganda",2010,2.36,3.11835842,6.15,56.419876,9.40428,63927.4664980172,0.505
"Ukraine",2010,8.57,4.42133481,1.45,183.77911,1.436841,33985.9431728597,0.743
"United Arab Emirates",2010,23.35,2.83416558,1.87,399.44516,1.008572,32067.7525784453,0.86
"United Kingdom",2010,9.71,7.94167603,1.89,297.65054,0.61948,20666.925844952,0.918
"United States",2010,21.7,8.07978444,1.93,967.87732,0.859051,23719.1938511032,0.92
"Uruguay",2010,9.86,5.372432,2.08,255.68414,1.277753,24830.5206898483,0.8
"Uzbekistan",2010,6.05,2.75131715,2.44,101.61535,3.947692,38673.8411783845,0.698
"Vanuatu",2010,1.84,4.18259763,3.5,8.6313829,3.434286,49308.7456435367,0.599
"Venezuela",2010,9.26,2.08823928,2.47,425.85629,1.964854,27963.349709614,0.775
"Vietnam",2010,3.15,2.96096663,1.95,96.433899,2.651527,28287.193407591,0.684
"Yemen",2010,1.65,1.2991309,4.67,167.57346,6.376008,45127.912460491,0.483
"Zambia",2010,23.09,2.27995642,5.4,50.114738,9.827448,71986.8058366421,0.583
"Zimbabwe",2010,5.04,1.69055376,4.03,62.229507,10.200875,95431.4490026208,0.529
"Afghanistan",2009,0.56,2.58612678,6.04,104.69267,10.450137,69850.8563324786,0.491
"Albania",2009,2.77,2.83357574,1.65,189.05678,1.566288,24604.5828483905,0.773
"Algeria",2009,4.54,3.83796598,2.83,180.09248,3.257548,27332.2184668505,0.747
"Angola",2009,1.7,2.66391721,6.24,31.739542,15.1663,65122.5881879965,0.564
"Argentina",2009,9.15,5.0407858,2.38,337.46414,1.7561,26265.253326089,0.82
"Armenia",2009,3.89,2.01000538,1.6,162.20915,2.0962,27878.9820590933,0.745
"Australia",2009,50.95,6.18655601,1.94,677.60535,0.5995,19667.4876069502,0.933
"Austria",2009,10.67,8.46612961,1.39,719.11371,0.53956,20219.9349900852,0.901
"Azerbaijan",2009,5.55,1.33896972,1.91,598.76691,4.336,38278.5161140863,0.758
"Bahamas",2009,12.22,3.52652415,1.88,468.20798,1.566,29376.749052791,0.807
"Bahrain",2009,24.68,2.74844438,2.18,259.76273,1.117953,23568.8287616327,0.81
"Bangladesh",2009,1.13,0.99109963,2.32,38.999256,6.206131,41109.7572679621,0.583
"Belarus",2009,10.7,3.8954424,1.5,231.04298,0.80874,34768.7091602386,0.807
"Belgium",2009,12.14,8.04382236,1.81,700.86481,0.55954,21149.8877042208,0.909
"Belize",2009,4.89,3.86242716,2.76,107.27441,2.30298,30708.2332653952,0.706
"Benin",2009,4.26,2.32862408,5.42,31.501411,13.9072,59111.9005582872,0.505
"Bhutan",2009,3.07,4.89129547,2.46,30.789373,5.455351,35439.4482315326,0.599
"Bolivia",2009,7.83,3.94822627,3.27,74.803238,5.5537,36238.8755852598,0.675
"Bosnia and Herzegovina",2009,6.53,6.80355125,1.3,248.81979,0.879025,24885.8285217489,0.754
"Botswana",2009,11.59,4.49453723,2.89,38.633179,6.296632,65805.4181671038,0.701
"Brazil",2009,6.22,3.84135565,1.82,346.24045,2.25412,30470.8554621619,0.752
"Brunei",2009,35.31,2.59195169,1.82,193.87793,1.317325,25969.20723554,0.853
"Bulgaria",2009,8.75,3.75184985,1.47,414.26978,1.357225,28654.9164589656,0.797
"Burkina Faso",2009,2.87,3.65837932,5.95,23.528753,15.056537,68643.7790846825,0.405
"Burundi",2009,0.7,3.09304018,6.35,24.577742,12.515395,68808.9077982386,0.421
"Cambodia",2009,6.22,1.31246853,2.95,89.63266,5.66671,43851.9289339978,0.566
"Cameroon",2009,6.01,1.28313286,5.17,91.69471,14.344182,67710.3315580131,0.543
"Canada",2009,22.3,7.91415821,1.64,613.45557,0.679373,19776.5425584644,0.918
"Cape Verde",2009,0.76,3.23926532,2.75,52.859913,2.881776,31666.6940384619,0.644
"Central African Republic",2009,97.24,1.49716213,5.25,14.595093,17.146396,110458.107371401,0.349
"Chad",2009,8.87,1.23152279,6.7,49.155113,18.27276,76231.8079224843,0.403
"Chile",2009,6.56,3.46810215,1.9,405.64221,1.06847,23018.930259475,0.833
"China",2009,7.98,2.66448263,1.59,155.21472,2.00473,25095.1939558745,0.738
"Colombia",2009,3.79,5.14827378,2.04,134.31514,2.253315,24598.2903532024,0.738
"Comoros",2009,0.79,1.72121212,4.99,97.718246,9.6208,45613.7721988178,0.501
"Congo",2009,8.14,1.14114182,4.97,51.8549,8.022764,64086.8598255314,0.595
"Costa Rica",2009,2.47,7.02218996,1.95,253.4893,1.21796,20281.9040295538,0.78
"Cote d'Ivoire",2009,1.54,1.69681015,5.26,96.209198,13.900588,69245.7216743453,0.465
"Croatia",2009,7.1,7.00686743,1.45,224.75594,0.689316,24356.5876056312,0.824
"Czechia",2009,13.2,6.56965403,1.45,303.77383,0.46958,23243.383430089,0.879
"Democratic Republic of Congo",2009,11.73,2.36297906,6.52,11.998376,14.773774,73333.4733496347,0.436
"Denmark",2009,11.41,9.7561254,1.84,591.10236,0.499664,21070.6285034985,0.928
"Djibouti",2009,3.02,5.95720603,3.4,33.008278,8.204688,49165.66026773,0.467
"Dominican Republic",2009,3.12,2.24556022,2.63,219.42085,3.856428,30711.2436785349,0.718
"Ecuador",2009,3.37,2.18659128,2.68,312.11282,2.331936,29113.3724416932,0.742
"Egypt",2009,3.23,2.05812685,3.11,257.45975,3.524547,39490.6521069849,0.683
"El Salvador",2009,1.94,4.13369693,2.31,166.05653,2.470865,31393.8560900459,0.67
"Equatorial Guinea",2009,6.42,4.4611084,5.29,388.09604,13.733729,55504.4699571178,0.59
"Eritrea",2009,1.1,1.39796022,4.68,26.02014,7.230144,71189.1570551487,0.428
"Estonia",2009,14.1,5.21671676,1.65,273.07498,0.68905,27200.000622347,0.864
"Eswatini",2009,2.57,5.76859486,3.61,62.095661,11.395228,118228.293829677,0.58
"Ethiopia",2009,2.13,2.4215197,5.06,16.047485,11.119,56139.6701858401,0.445
"Fiji",2009,2.74,2.95390616,2.7,65.715332,2.92704,42328.6085221465,0.73
"Finland",2009,14.05,6.89682279,1.86,651.96765,0.41968,21436.8155058858,0.914
"France",2009,8.15,8.74652319,1.99,288.44263,0.519613,19324.3352171361,0.894
"Gabon",2009,9.03,1.54809965,4.11,224.70969,8.14848,56453.3326612879,0.693
"Gambia",2009,1.84,3.48232827,5.74,18.973774,9.919216,53381.2241025294,0.454
"Georgia",2009,3.33,2.27025857,1.87,380.69345,2.055016,30308.6221986926,0.765
"Germany",2009,11.6,8.70986229,1.38,580.66595,0.519613,20023.8801639439,0.93
"Ghana",2009,4.39,3.67496336,4.31,80.162346,9.031596,56532.4162314736,0.576
"Greece",2009,10.21,6.78107986,1.43,844.49066,0.509532,20202.1051164511,0.864
"Grenada",2009,6.19,3.07333463,2.26,338.37177,1.666334,27768.9792846427,0.761
"Guatemala",2009,2.59,2.5169934,3.47,234.50648,4.122751,34933.4024328698,0.643
"Guinea",2009,15.18,1.34649864,5.42,33.077271,13.727821,70438.5487965097,0.44
"Guinea-Bissau",2009,3.33,1.91662708,5.11,29.673241,14.022064,76002.2632343641,0.445
"Guyana",2009,34.55,5.30091141,2.68,101.0338,4.272382,39352.50643894,0.648
"Haiti",2009,0.86,1.3726482,3.41,37.830776,9.90805,56994.6565594771,0.49
"Honduras",2009,2.47,4.55417153,2.98,152.69127,2.996662,31480.3113374077,0.603
"Hungary",2009,6.57,4.95861491,1.33,392.79178,0.759132,27847.2775180977,0.833
"Iceland",2009,16.15,7.47948052,2.09,616.86719,0.37972,18049.9349589331,0.925
"India",2009,2.14,1.22097108,2.67,94.063316,7.060864,45506.76253779,0.618
"Indonesia",2009,4.8,1.01954942,2.49,107.81367,4.117032,37034.8194938054,0.683
"Iraq",2009,4.63,3.45308147,4.56,100.44901,4.386186,34619.2849198131,0.666
"Ireland",2009,14.47,6.91724158,2,556.63062,0.52957,20700.6865423415,0.921
"Israel",2009,10.02,4.56077326,2.97,509.7753,0.589436,19264.609673641,0.899
"Italy",2009,8.13,7.24866586,1.42,641.85699,0.50959,18474.0010033913,0.874
"Jamaica",2009,4.95,2.89373821,2.21,126.68933,2.223888,27375.6863250534,0.728
"Japan",2009,10.08,7.75349321,1.36,452.66858,0.419703,17052.9594518436,0.903
"Jordan",2009,3.56,6.6959843,3.68,203.69359,2.620018,26493.4651619839,0.73
"Kazakhstan",2009,17.88,2.65111923,2.62,267.28815,2.660734,39737.2781714588,0.793
"Kenya",2009,1.31,1.64162437,4.48,44.762657,7.274236,59011.9379680519,0.572
"Kiribati",2009,0.52,10.36476503,3.86,0.20787124,7.56091,58170.8769436174,0.616
"Kuwait",2009,31.51,3.37093389,2.28,359.16794,1.337447,21581.2580727431,0.799
"Kyrgyzstan",2009,2.46,3.78535257,2.91,73.689316,3.479572,37549.310446788,0.663
"Laos",2009,3.98,1.85830311,3.24,39.853363,9.998394,52309.0546811786,0.586
"Latvia",2009,6.34,4.07004162,1.5,399.12234,1.077925,30726.1656626418,0.838
"Lesotho",2009,1.35,7.00041374,3.33,38.516758,12.2193,108243.666633271,0.509
"Liberia",2009,0.68,3.33555505,5.11,22.218618,12.27517,61092.9797413951,0.431
"Libya",2009,12.09,2.17818001,2.42,301.66208,2.30032,30047.6264891857,0.695
"Lithuania",2009,7.74,5.48554662,1.47,355.75705,0.888526,30716.5698640065,0.851
"Luxembourg",2009,24.8,7.02564427,1.59,603.38226,0.35982,20108.681771658,0.895
"Madagascar",2009,5.74,2.40821292,4.69,25.431288,8.15734,57593.0447089651,0.512
"Malawi",2009,1.06,6.18575293,5.47,8.9599075,10.934104,83878.7093409136,0.468
"Malaysia",2009,10.07,2.33663975,2.17,216.94405,1.047894,26470.770165161,0.79
"Mali",2009,5.07,1.85606743,6.61,57.393246,16.596725,67429.3662793704,0.414
"Mauritania",2009,3.41,1.79980274,5.02,79.280579,11.310166,42188.1435141026,0.514
"Mexico",2009,5.62,3.09593557,2.36,411.38458,2.064838,26576.9259658842,0.761
"Moldova",2009,3.09,6.0594372,1.27,219.99666,2.03478,36888.1570716311,0.696
"Mongolia",2009,18.83,2.76837271,2.54,72.388123,3.307328,45618.9592604635,0.734
"Morocco",2009,2.26,2.04639606,2.57,192.09164,3.75593,35403.6764567906,0.65
"Mozambique",2009,13.06,2.51515994,5.6,3.9910471,12.67866,86151.2340049359,0.427
"Namibia",2009,18.7,4.41722957,3.61,60.348446,6.855094,68707.8988345007,0.636
"Nepal",2009,1.23,2.82439526,2.74,47.530285,5.749246,39753.877060492,0.56
"Netherlands",2009,12.21,8.90151685,1.79,439.15442,0.549586,19651.3978188298,0.924
"New Zealand",2009,17.68,9.32301029,2.13,377.62054,0.759181,21664.5780844212,0.91
"Nicaragua",2009,2.8,4.28669744,2.48,111.82682,2.819098,25238.0975966143,0.649
"Niger",2009,0.67,2.6503865,7.52,28.901289,17.308447,65580.0364865346,0.345
"Nigeria",2009,1.77,1.32467002,5.87,222.14766,15.685168,67427.7274881424,0.524
"North Macedonia",2009,5.63,4.45685773,1.46,249.04724,1.248256,25583.4627176697,0.747
"Norway",2009,13.64,8.02173768,1.98,772.0246,0.429694,20417.2459318401,0.946
"Oman",2009,19.25,2.30073733,2.9,143.72656,1.407192,27124.6847719317,0.815
"Pakistan",2009,2.05,0.80290353,3.9,78.766708,10.250704,52655.1272761507,0.548
"Panama",2009,4.33,5.63276516,2.63,291.79919,2.422548,24489.1126476074,0.781
"Papua New Guinea",2009,1.63,3.22088129,4.04,6.6610084,7.836236,72133.5406167954,0.536
"Paraguay",2009,7.65,3.49868063,2.79,177.54843,3.088971,28822.0360011204,0.698
"Peru",2009,2.23,2.98344443,2.57,181.53877,2.570584,25401.8531831777,0.746
"Philippines",2009,2.43,1.54867658,3.21,123.77002,3.945118,38444.7130819799,0.689
"Poland",2009,10.63,5.09718111,1.37,309.25333,0.779055,25723.2387632118,0.842
"Portugal",2009,7.14,7.16052145,1.34,644.44568,0.52948,20908.1433633533,0.839
"Qatar",2009,54.2,2.06552792,2.13,472.04773,1.157861,24588.3371064686,0.853
"Romania",2009,5.87,4.39196839,1.46,182.03989,1.45688,29716.1356997988,0.802
"Russia",2009,17.95,4.15902204,1.54,404.55313,1.386576,38983.4224795468,0.807
