"country","year","greenhouse_gas_per_capita","public_expenditure_health_%gdp","fertiltiy_rate","oop_expenditure_healthcare_per_capita","youth_mortality_rate","burden_of_disease","hdi"
"Honduras",2012,2.41,4.45364758,2.69,181.83676,2.698612,33158.8493140498,0.617
"Hungary",2012,6.35,4.91010603,1.33,505.8566,0.689316,26366.0190768337,0.838
"Iceland",2012,17.2,6.99404794,2.01,631.38708,0.339775,17674.0265686212,0.935
"India",2012,2.38,1.18387275,2.48,103.11926,5.99808,43190.010331609,0.64
"Indonesia",2012,3.14,1.14773652,2.46,164.98621,3.631946,35089.9431436882,0.694
"Iraq",2012,4.75,3.28004061,4.54,247.41206,4.098589,30820.7272188859,0.685
"Ireland",2012,13.57,5.62241699,2,533.23621,0.48964,19596.8641747932,0.938
"Israel",2012,10.62,4.865017,3.03,541.4566,0.529538,18196.5449006864,0.903
"Italy",2012,8.11,6.9931209,1.43,705.35175,0.469658,17883.0151565122,0.88
"Jamaica",2012,5.45,3.27376045,2.1,115.6955,2.06469,27464.4255446967,0.732
"Japan",2012,11.59,8.40992077,1.4,517.37274,0.38973,16760.7733240884,0.909
"Jordan",2012,3.4,5.50930257,3.6,157.53828,2.440846,24900.8266187118,0.735
"Kazakhstan",2012,21.83,2.40821469,2.7,275.36685,1.98426,36843.2615649223,0.8
"Kenya",2012,1.24,3.32293745,4.17,49.765469,6.536896,52197.4763014182,0.59
"Kyrgyzstan",2012,2.46,4.19724385,3.08,107.80412,2.931616,34547.832840229,0.672
"Laos",2012,25.21,0.79224628,2.97,50.707298,9.017,47680.6821197622,0.601
"Latvia",2012,6.85,3.5769554,1.51,433.4613,0.86866,28617.6070421714,0.847
"Lesotho",2012,1.66,8.44735094,3.25,44.27113,10.985588,97204.8692244812,0.52
"Liberia",2012,0.68,3.38634341,4.87,24.320469,10.799703,57251.0387239949,0.435
"Lithuania",2012,9.85,4.34953944,1.57,490.53198,0.71896,29136.3758100298,0.858
"Luxembourg",2012,23.75,5.98807092,1.56,635.62445,0.339832,19576.5288989951,0.904
"Madagascar",2012,5.28,1.8161053,4.44,17.200294,6.9553,55765.0665215649,0.519
"Malawi",2012,1.34,6.76593456,4.99,9.1954317,9.040837,66448.6422203679,0.477
"Malaysia",2012,9.57,2.21523329,2.11,281.80206,0.9882,25334.1155564602,0.802
"Mali",2012,4.84,1.67327338,6.4,50.851227,14.871401,64453.1836538689,0.427
"Mauritania",2012,3.48,1.37024701,4.9,66.597946,10.328317,39590.4827483644,0.52
"Mexico",2012,5.49,3.16097116,2.3,414.61414,1.905572,26264.5471866298,0.774
"Moldova",2012,3.19,5.51752278,1.27,194.99068,1.945464,33434.635314763,0.7
