"","Country Name","Year","GDP Per Capita PPP","Private Expenditure Consumption (% growth)","Gross Fixed Investment (% growth)","Govt Expenditure Consumption (% GDP)","Exports of G&S (% GDP)","Imports of G&S (% GDP)","Human Development Index","Gross Capital Formation","Net foreign asset","Net FDI (BOP)","Exchange Rate","Total Reserves","Inflation Rate","Govt Effectiveness","Female Adult Mortality Rate","Male Adult Mortality Rate","Real GDP (% growth)","major.event","GDP Per Capita PPP (Year+1)"
"124","Estonia","2002",11670.3655638907,9.73147486361835,23.5738615348095,18.3028508542751,57.920649395746,65.3226039299695,0.805,32.9203236144906,NA,-152577825.511914,16.6117916666667,1003157301.27034,3.57191270164023,0.7357646,110.566,312.834,6.80239281827969,"0",13123.8378110674
"125","Estonia","2003",13123.8378110674,9.66629611712671,17.7355144815722,17.9822889272358,57.1413187678727,65.590516751099,0.813,35.1843212479716,NA,-763375958.739438,13.8564114045105,1376698670.15844,1.33499116549964,0.9419677,107.107,292.249,7.56668920986692,"0",14522.4734639209
"126","Estonia","2004",14522.4734639209,8.08274828899232,5.50799191436369,17.5042449858023,61.0869516296654,68.9074634010622,0.821,34.660830748836,686017220.32932,-698555747.117606,12.5955635879843,1791730276.65348,3.04811107523412,0.924236,99.418,288.777,6.76745741584872,"0",16624.9117480039
"127","Estonia","2005",16624.9117480039,9.69313108085821,15.4262700543093,16.9647343298581,65.4743048626097,70.5461244352737,0.832,33.3772506135952,775893032.46215,-2212237339.53159,12.5837865859395,1947311946.75443,4.07971423199846,0.9649968,99.322,274.185,9.49029874209133,"0",19307.4501937681
"128","Estonia","2006",19307.4501937681,12.8164652160119,22.7611582226605,15.985247470562,63.305992202955,73.4219523407727,0.839,39.8569391355289,-491666575.68474,-312038696.795068,12.4654837577722,2786325227.45502,4.43762042389211,1.157151,96.011,272.526,9.71876110311673,"0",22164.748517714
"129","Estonia","2007",22164.748517714,8.44800244165079,10.307383477419,16.087916006733,62.6084633438063,71.4003079382365,0.846,40.0142376766317,-2466638416.96148,-645706690.904776,11.4338529961624,3269362367.43126,6.60132603055634,1.037318,92.312,276.966,7.57357803884031,"0",22830.0896302879
"130","Estonia","2008",22830.0896302879,-4.4691828804449,-13.1060387712037,18.6918171739565,66.3115599767909,70.2113607134773,0.848,31.5965899372087,-3106924200.6095,-687425319.128922,10.6944430938413,3971834388.52859,10.3623580313683,1.161841,84.723,243.48,-5.08894035136528,"1",20608.8957894538
"131","Estonia","2009",20608.8957894538,-13.6771699921174,-37.1962743195023,21.1126365246484,60.5219559984298,55.5858785344106,0.846,20.8915950261371,-2733925106.51036,-503313255.683766,11.2574308850767,3980641012.81399,-0.0784083112810205,1.009114,77.471,229.24,-14.4338701884722,"1",21815.0168398281
"132","Estonia","2010",21815.0168398281,-0.902100949354235,-2.20410723917558,20.0629761417697,74.4333630781596,68.0656490720065,0.852,21.5133610516629,-1773921061.07265,-1350833077.00115,11.8068482348947,2567138087.1289,2.97204512015696,1.085489,67.753,203.039,2.69033559857637,"0",24780.9793651933
"133","Estonia","2011",24780.9793651933,3.5090601955432,35.6033454524552,18.7342966429072,85.8218606180067,80.0587657027629,0.86,25.4462243134019,-1052919408.70727,-2490397605.83938,NA,207115695.548506,4.9819013145361,1.076636,70.866,203.78,7.42667157843853,"0",26190.552660838
"134","Estonia","2012",26190.552660838,4.37687595014403,11.9497723137312,18.5245067832964,85.5675643603915,83.9242020976761,0.865,29.143491481816,97605723.6829424,-505876815.3678,NA,300659803.183269,3.93339987296979,0.9544093,67.859,198.315,3.11023773622918,"0",27642.584786115
"135","Estonia","2013",27642.584786115,3.56577578990978,1.50348765287767,18.9887067948792,84.0234047614844,81.3571853088509,0.869,27.0225349217838,923797329.519412,-246699019.40846,NA,314406126.749955,2.78056658954996,0.9748209,67.015,169.327,1.34618473238244,"0",29135.7051198125
"136","Finland","1996",20038.4808067195,3.76814018652503,10.0047004375023,22.159419296063,36.3194655329487,29.402544987902,0.83,20.2403926216902,NA,2464656102.11446,4.59355,7507184580.02272,0.629194238121014,1.724996,60.845,153.78,3.66717982978477,"0",23575.9949336352
"137","Finland","1998",23575.9949336352,4.8247663551402,10.6714095153402,20.5745638062985,37.4387834719525,29.5283629662832,0.846,23.0149243820243,NA,6668965419.14475,5.34406583333333,10270793472.7741,1.3994737857984,2.022946,62.151,148.682,5.45718050065875,"0",26796.3603423706
"138","Finland","2000",26796.3603423706,2.10165592273958,6.21861227836425,19.7373242843113,42.0310461588074,32.8637809472157,0.864,23.8643526186951,NA,14780179939.6168,NA,8409731733.14767,3.04210080667796,2.118074,63.322,144.431,5.7733624584817,"0",28605.1223159604
"139","Finland","2002",28605.1223159604,2.49948570253034,-2.9535864978903,20.6275339089207,39.1350026265102,30.1644599490861,0.874,22.052584082001,20859792028.1362,-756942687.96572,NA,9825470847.61376,1.57122012789382,2.161537,60.744,133.525,1.70714896198065,"0",29021.5670530932
"140","Finland","2003",29021.5670530932,4.12666555165299,2.79677576941866,21.0966793850371,37.3208390170611,30.7349636570916,0.877,22.2268351027025,24249490446.9998,-5756624400.95596,NA,11172946882.4705,0.877440386254743,2.261099,57.94,134.905,2.00378420285061,"0",31175.8834703703
"141","Finland","2004",31175.8834703703,3.75109759492858,4.6619935844125,21.1844442484788,38.6153768628983,32.3448267173938,0.904,22.8700285969841,25182876597.399,-4017927073.32828,NA,12913570496.8033,0.187120559084453,2.169805,61.1,136.514,3.99209129032087,"0",32051.7940038456
"142","Finland","2005",32051.7940038456,3.174767001414,3.25107271777874,21.4115261071001,40.2733670538658,36.3058407767462,0.908,24.6042492728631,22018572706.6163,-393671434.486291,NA,11331633301.0062,0.623874450025199,2.129372,62.699,137.234,2.77985055556123,"0",34409.0274886861
"143","Finland","2006",34409.0274886861,3.92037213024558,1.35667011148001,21.3207863641359,43.0742002463895,38.909292815954,0.912,23.9963677796607,27614086691.7601,-2837996225.28278,NA,7498639358.46346,1.56666380704384,2.170114,57.272,132.326,4.02740965802573,"0",37792.4143812135
"144","Finland","2007",37792.4143812135,3.50198298101729,10.2980735855606,20.7668705097503,43.8259066028053,39.0314958946288,0.915,25.5516592541909,33854836502.8531,-5459866277.12025,NA,8380474053.47307,2.51066565240339,1.974782,56.788,133.39,5.29933650739021,"0",40083.6972699668
"145","Finland","2008",40083.6972699668,1.9679693458083,0.633322187911816,21.5648727254009,44.9000077214115,41.2843281085116,0.917,25.2469564769773,27747075572.5221,10751439981.6277,NA,8353577867.1211,4.06595355358378,2.050841,56.723,129.197,0.783995060876521,"1",38000.2456254076
"146","Finland","2009",38000.2456254076,-2.9214323500976,-12.0297078080719,24.0675224350333,36.0809256824047,34.0423775908268,0.912,21.47270656462,31298203001.275,4920533661.43846,NA,11428834791.927,-9.17360403259616e-07,2.229059,55.862,123.904,-8.0744474323113,"1",38986.2159635875
"147","Finland","2010",38986.2159635875,2.99619486071312,2.30393245945346,23.6862386588924,38.4143975593033,37.0500098329462,0.916,22.082671159703,41735294720.325,2766046759.74603,NA,9547427724.74528,1.1841352315465,2.229,53.674,120.426,3.18595865407703,"0",40916.8385790274
"148","Finland","2011",40916.8385790274,2.89443917390354,3.88516081395096,23.361347084314,38.900392933262,39.6791886786735,0.92,24.0441822644673,52898997231.882,2457167885.89698,NA,10276057418.071,3.41680754255211,2.240971,50.994,115.107,2.54766483842627,"0",40873.0953326066
"149","Finland","2012",40873.0953326066,0.384762006081729,-0.284304707751488,24.0970567606958,38.8082790730065,40.3622218795545,0.921,23.3907191213558,48046253535.9774,3444014949.83219,NA,11082344912.0095,2.80833622561575,2.220309,50.735,107.947,-1.39754572817782,"0",41493.1416470359
"150","Finland","2013",41493.1416470359,-0.521941871042387,-4.60796645702305,24.5363912666833,38.0176291228019,39.0762574576279,0.928,22.3344639072831,43099449187.2503,-2304132793.48058,NA,11272356806.1603,1.47828615688804,2.190214,48.4,104.734,-0.901696316194844,"0",41757.4021894413
"151","France","1996",21306.2523947217,1.96019750355939,0.751683961875287,23.4696941384658,23.055564872,21.2736750818117,0.837,19.6222687512078,NA,8389214529.86985,5.1155225,57020073080.4882,1.98288365089736,1.251857,65.4,152.142,1.41299367250002,"0",23358.5013410824
