"","Country Name","Year","FSI","Rule of Law","Voice.Accountability","No violence Index","CorruptionPI","Human Development Index","Life_Satisfaction","Healthcare_Exp","GDP Per Capita","Unemployment Rate","Aid per capita","FSI (Year+4)"
"41","Bosnia and Herzegovina","2010",83.5,-0.3508464,-0.0824645,-0.6937302,3.2,0.721,4.669,9.01888275,4635.51027337483,27.31,137.952510492784,75.9
"42","Bosnia and Herzegovina","2011",80.9,-0.3326592,-0.159755,-0.8197949,3.21,0.729,4.995,9.17856026,5092.55472521264,27.58,170.923370541866,77.4
"43","Bosnia and Herzegovina","2012",77.9,-0.2067266,-0.1003254,-0.5381487,42,0.748,4.773,9.49001503,4778.63608845506,28.01,157.565722987932,74.6
"44","Bosnia and Herzegovina","2013",76.5,-0.1516332,-0.1164629,-0.4049441,42,0.755,5.124,9.48689747,5131.40464581334,27.49,147.126493599515,73
"45","Bosnia and Herzegovina","2014",75.9,-0.1857099,-0.0709753,-0.019179,39,0.758,5.249,9.47516823,5329.63198373154,27.52,180.982431955555,71.3
"46","Bosnia and Herzegovina","2015",77.4,-0.2814464,-0.098101,-0.402437,38,0.761,5.117,9.33953667,4727.27633310331,27.69,103.923124665299,71.3
"47","Georgia","2006",82.2,-0.4639046,-0.09271,-0.9644839,2.8,0.731,3.675,7.84626532,1996.05712927664,13.57,92.0510465794441,90.4
"48","Georgia","2007",82.3,-0.346999,-0.2304102,-0.6447724,3.4,0.743,3.707,7.64387417,2635.35388202963,13.28,98.9415440186078,86.4
"49","Georgia","2008",83.8,-0.2673092,-0.2568539,-0.9201103,3.9,0.742,4.156,8.68152046,3324.73587905411,17.87,212.581740163781,84.8
"50","Georgia","2009",91.8,-0.2049277,-0.1888308,-0.9665727,4.1,0.746,3.801,9.83542728,2822.66743023352,20.71,208.175873527323,84.2
"51","Georgia","2010",90.4,-0.2096013,-0.160891,-0.7183209,3.8,0.751,4.102,9.54538918,3233.29594347421,20.2,155.507635379021,82.7
"52","Georgia","2011",86.4,-0.1242663,-0.1726989,-0.656952,4.13,0.757,4.203,8.38810349,4021.74330617286,19.63,145.100108735528,79.2
"53","Georgia","2012",84.8,-0.0145602,0.0215808,-0.680454,52,0.767,4.254,8.37314224,4421.81824228013,19.65,176.779907940415,78.9
"54","Georgia","2013",84.2,-0.0060284,0.1388145,-0.4413662,49,0.775,4.349,8.3957243,4623.74572473419,19.42,173.848228932383,76.5
"55","Georgia","2014",82.7,0.190843,0.284666,-0.3215075,52,0.783,4.288,8.43881893,4739.18833846421,17.44,151.572266428428,74
"56","Georgia","2015",79.2,0.2714227,0.2745879,-0.4660819,52,0.79,4.122,7.93235874,4014.18594419329,16.51,120.509189836077,72
"57","Kazakhstan","2006",71.9,-1.015587,-1.189626,0.2082189,2.6,0.754,5.476,3.39824891,5291.57530451457,7.79,11.6755293511591,72.7
"58","Kazakhstan","2007",72.3,-0.9477491,-1.163579,0.6474186,2.1,0.758,5.719,2.70314837,6771.41479681885,7.26,16.8720460195792,70.2
"59","Kazakhstan","2008",72.4,-0.8240984,-1.09226,0.6239348,2.2,0.758,5.886,3.04952645,8458.01715432982,6.63,21.4033922600051,70.9
"60","Kazakhstan","2009",72.5,-0.6456799,-1.075511,0.7768114,2.7,0.762,5.383,3.49913764,7165.22317483703,6.55,18.3236976636424,69.8
"61","Kazakhstan","2010",72.7,-0.6158919,-1.132222,0.5229718,2.9,0.764,5.514,2.73641396,9070.48825285747,5.77,12.9880938591581,68.5
"62","Kazakhstan","2011",70.2,-0.5734761,-1.121369,-0.3385706,2.69,0.772,5.736,2.60236669,11634.0012021103,5.39,12.1415441316291,68.3
"63","Kazakhstan","2012",70.9,-0.6845782,-1.176721,-0.408455,28,0.782,5.759,3.03725982,12386.6992652963,5.29,7.85250678208323,66.5
"64","Kazakhstan","2013",69.8,-0.6916572,-1.242599,-0.4024739,26,0.791,5.835,2.66286755,13890.6309562926,5.2,5.32768221798229,65.9
