"Country Name","Year","GDP Per Capita PPP","Private Expenditure Consumption (% growth)","Gross Fixed Investment (% growth)","Govt Expenditure Consumption (% GDP)","Exports of G&S (% GDP)","Imports of G&S (% GDP)","Human Development Index","Gross Capital Formation","Net foreign asset","Net FDI (BOP)","Exchange Rate","Total Reserves","Inflation Rate","Govt Effectiveness","Female Adult Mortality Rate","Male Adult Mortality Rate","Real GDP (% growth)","major.event","GDP Per Capita PPP (Year+1)"
"New Zealand","2013",36242.6212285958,3.89519835435334,9.45093151156553,18.7419724819904,28.8135811643821,27.203567117568,0.914,22.136834011332,-81777643695.2645,-1344655282.77846,1.21940797394829,16317764962.7089,1.13442266445812,1.758012,52.507,80.56,2.69578385886643,"0",37293.3567850718
"Norway","1996",26759.7334146789,6.32327197496154,9.36014128515149,20.365004475325,39.9423707086184,31.1781293141375,0.887,22.7998847034908,106517961840.666,2706566982.28221,6.44980833333333,26953896227.8296,1.26253249164498,1.950876,63.729,106.706,5.02794717187143,"0",28185.2502685232
"Norway","1998",28185.2502685232,2.82856152784952,12.3106232815916,21.3662053443239,36.9081086471718,35.1146600090442,0.904,28.3147549214308,12818282066.933,-1154207603.18153,7.5450975,19388853820.2512,2.25241329996425,1.984174,61.963,108.449,2.62442622196583,"0",36952.554147058
"Norway","2000",36952.554147058,4.18091258025011,-3.2899032047461,18.8866987818479,45.7323541763557,28.9192540485098,0.915,21.8389645474672,39105114289.428,2470910554.65099,8.80184166666667,27922060281.5661,3.08550609131277,1.897057,61.089,106.629,3.20497922225218,"0",37980.3539761745
"Norway","2002",37980.3539761745,3.13607168427374,-0.353543983107514,21.6695301679793,40.3731263925136,27.2372785591015,0.917,20.4789670383453,-173535947233.305,4728193574.39805,7.98377883333333,32404966342.7747,1.28672528415185,1.895618,58.943,99.014,1.44625413960414,"0",38553.9324488694
"Norway","2003",38553.9324488694,3.19162493292792,0.489012047478624,21.9919104596251,39.6301695174664,26.9226544159214,0.923,19.5848587107588,-209661165145.367,2502509342.8681,7.08021666666667,37712335260.0565,2.48782553461785,1.89888,56.879,94.188,0.910105664307537,"0",42514.6859892361
"Norway","2004",42514.6859892361,5.44799054501573,10.1470219574418,20.8033000190688,41.0909019528665,27.9178584648518,0.932,21.6952137384886,-274668395052.798,2706323404.81144,6.74083333333333,44307531918.0843,0.454498502220854,2.080887,56.784,92.071,3.96941456013641,"0",47797.5299472052
"Norway","2005",47797.5299472052,4.4027030969733,11.8844887139529,19.4420868076023,43.4025448407452,27.4110333384087,0.931,22.6256754441109,-341376913289.506,21676267876.8855,6.4425,46985905052.1739,1.53213367609252,1.864108,55.982,88.359,2.62541993829724,"0",54088.0368382735
"Norway","2006",54088.0368382735,4.96104335710027,9.06637128053649,18.6393011469027,44.6445612247706,27.7112885927419,0.934,24.1816942251492,-430337267510.967,6643671610.97342,6.41333333333333,56841568846.0479,2.32934980757545,1.879103,53.192,85.973,2.39982842629603,"0",55862.6564232931
"Norway","2007",55862.6564232931,5.30845852766775,12.2519924455555,18.7287063548088,43.2984720699285,29.8857573463741,0.936,27.3812183188216,-582979045222.815,-1881082807.34759,5.86166666666667,60839629829.3958,0.712589073634205,2.024723,52.837,81.324,2.99425185125679,"0",61716.5997128422
"Norway","2008",61716.5997128422,1.6759562680996,1.12984095380246,18.5066491759011,45.9167117360736,28.9726476646376,0.937,26.1615057401164,-884317687986.051,15747871947.3908,5.64,50949819414.8049,3.75393081761006,1.84209,49.79,82.741,0.476379999491613,"1",55404.9745521694
"Norway","2009",55404.9745521694,0.0284557294516645,-7.01574902077733,21.5984395183656,39.2356785990914,27.8191182059897,0.937,24.7383034909476,-841831905002.406,1332335634.6921,6.28833333333333,48859300062.3353,2.19738586853571,1.841375,50.03,82.932,-1.72702030948713,"1",57963.8759448629
"Norway","2010",57963.8759448629,3.81067005120575,-6.42123643620339,21.3402076574805,39.7598437031518,28.4897157183215,0.94,25.4395270036917,-840936353501.639,8307773566.30724,6.04416666666667,53215083706.0825,2.41890639481001,1.878627,50.116,79.608,0.701833823862358,"0",62076.7406576686
"Norway","2011",62076.7406576686,2.36545993414757,7.45099470358817,20.9188081855334,41.2739648574507,28.3994280768709,0.942,25.9162246484832,-859266293157.719,2699870111.48449,5.60460730676329,49397087253.2418,1.28495158809159,1.837415,49.575,79.947,0.981434478585356,"0",65354.7792483883
"Norway","2012",65354.7792483883,3.49403931834151,7.54256147029595,20.7420042759019,40.6824371898883,27.5349664800191,0.941,26.414709858427,-900919735235.856,-530635440.893499,5.8175,51856399587.6549,0.696864111498241,1.908969,44.447,73.747,2.70310947059309,"0",66961.2530988205
"Norway","2013",66961.2530988205,2.8112360301737,6.33428306614947,21.1095966949985,39.1971735047655,28.3494463445193,0.944,27.8506224228516,-934429646896.178,13330852298.3973,5.875,58283142155.4752,2.12048620353119,1.885204,45.912,75.058,1.03407291353631,"0",65892.6892787813
"Poland","1996",8257.7236194561,8.76207275170502,19.7364287131964,18.5102003486943,22.06915074659,23.483145286955,0.753,21.6713707203338,61524314584.1053,-4.445e+09,2.6961,18018685657.574,19.7949669196707,0.6811826,91.437,240.011,6.11538070947437,"0",9487.37019690989
"Poland","1998",9487.37019690989,4.95403994230553,14.2455553867193,17.7012796840075,25.9486446286709,30.7904918934678,0.774,25.1387326368013,96281130574.7183,-6.049e+09,3.4754,28276350177.7805,11.5978554257236,0.6851199,89.252,234.724,4.64063436855272,"0",10676.7629895648
"Poland","2000",10676.7629895648,2.8975965191389,2.18508383026015,18.0708179076879,27.1883262545709,33.6802572670321,0.79,24.5841254911601,131724617692.981,-9.327e+09,4.346075,27469379417.1752,9.90017538843062,0.6061649,86.921,218.94,4.56102546838335,"0",11804.2662616751
"Poland","2002",11804.2662616751,3.87144334622857,-6.1028172674429,18.6369602099939,28.7131224037015,32.2742528446936,0.804,18.4091877263874,136424204222.262,-3.901e+09,4.08003333333333,29783862625.3915,1.90528215048054,0.5051503,81.427,205.384,2.03590350105117,"0",12275.7956677812
"Poland","2003",12275.7956677812,1.38182688735158,1.20115955618428,18.9211617277655,33.3504495061099,36.0957655768977,0.809,18.8046537103141,135870820035.68,-4.284e+09,3.889075,33958963963.2397,0.682701375787657,0.5459217,80.211,202.643,3.49839918393234,"0",13342.6145646128
"Poland","2004",13342.6145646128,4.3356970691063,6.70292566046238,18.3194350818945,34.2354604213308,37.2101970761694,0.807,20.2299668521077,143529780162.855,-1.1729e+10,3.65764166666667,36772763413.3981,3.38264681884694,0.4659075,79.424,205.111,4.98282212348474,"0",13896.7933802514
"Poland","2005",13896.7933802514,1.81608936246258,8.34571897437219,18.3337203315397,34.61157158289,35.9189524799855,0.813,19.8880397363028,174724706024.965,-6.907e+09,3.23548333333333,42560656301.1177,2.18379872390258,0.4783568,79.411,205.076,3.50684745343695,"0",15132.0722480162
"Poland","2006",15132.0722480162,4.72862106232328,15.3754174639025,18.5360252321094,37.8209533854919,40.1497618827208,0.819,21.6783504499121,160965524070.382,-1.067e+10,3.10315833333333,48473948178.8457,1.28469394366409,0.3737843,79.208,205.685,6.13114394606158,"0",16782.4390073383
"Poland","2007",16782.4390073383,5.64722684703574,19.0436316258469,18.1938142732512,38.5162878902711,42.3151675609764,0.824,25.1956197347723,115743202690.277,-1.7445e+10,2.76795,65724834524.5349,2.45874312385397,0.3872338,78.935,205.691,7.06154381310782,"0",18303.3529197976
"Poland","2008",18303.3529197976,6.6780072619363,8.80682259286982,18.6760591208109,37.8148698127136,43.0908911293114,0.829,24.6491247857956,58730502234.353,-9.908e+09,2.40924166666667,62183606683.5405,4.1649719352477,0.4732433,76.953,201.651,4.19996229248767,"1",19254.0922750374
"Poland","2009",19254.0922750374,3.44415343550671,-2.66656091265271,18.7527195204169,37.1422532388258,38.1255443596144,0.834,20.5600481040797,70789026812.237,-8.094e+09,3.12014166666667,79521599625.5025,3.79539242483406,0.5317568,75.725,194.365,2.83218458943098,"1",21088.6163287205
"Poland","2010",21088.6163287205,2.64324901006373,-0.0426535775986565,19.1751149398277,39.879212962835,42.0502141212183,0.84,21.5063268742173,96200940979.519,-8.879e+09,3.0153,93472504101.0455,2.58069370250546,0.6278063,71.02,187.605,3.74051777907684,"0",22827.6981360924
"Poland","2011",22827.6981360924,2.83778710470766,8.76760082955848,18.1418826756859,42.3942230351554,44.5570071509298,0.845,22.653299694426,142628917221.016,-1.3656e+10,2.96284777777778,97712435349.2056,4.23940149625935,0.6073814,69.818,183.327,4.75763800382072,"0",23745.6977950951
"Poland","2012",23745.6977950951,0.446582080798379,-1.77773638183119,18.0782559524763,44.2514731046751,45.0138040040851,0.842,21.2526225143861,171825411402.672,-6.031e+09,3.25654166666667,108902203543.974,3.56037151702788,0.6598141,69.056,179.576,1.32489082785044,"0",24567.5061660535
"Poland","2013",24567.5061660535,0.244627147356496,-1.0678055229977,18.3266291133183,46.0026088160493,44.5616265992358,0.856,19.2528924094141,144574255500.455,-4.206e+09,3.16061666666667,106221491035.509,0.99198260633235,0.662097,66.784,172.362,1.12576783609582,"0",25475.5046935928
"Romania","1996",5731.37949439277,7.5565324205471,8.40122893134432,11.6731209989726,26.4574936115282,34.3238757606892,0.702,23.0950938293071,17364192.7670877,-2.63e+08,0.30842175,3143305778.26157,38.8293013382852,-0.2869339,117.774,266.997,3.90770208816159,"0",5544.094539548
"Romania","1998",5544.094539548,5.97651478183407,-4.68377053089343,11.8926601761255,23.0154805621533,30.8233151479287,0.705,18.3829311197399,1462638298.81362,-2.04e+09,0.887557583333333,3795239426.86464,59.0965827541167,-0.5690975,115.471,262.959,-2.02981290571721,"0",5850.62422082304
"Romania","2000",5850.62422082304,1.54565226331972,5.85160513218068,16.8590050338122,21.58888431382,26.9324410712586,0.716,19.6695811091698,9298166762.89454,-1.048e+09,2.17087208333333,3395672575.31485,45.6665940440238,-0.3731693,110.229,250.838,2.4612634592269,"0",7162.30967298118
"Romania","2002",7162.30967298118,7.09522064213459,7.30760432806639,14.8243105242938,24.0130293587441,29.6972184551935,0.731,22.1726981083131,17892899110.2062,-1.128e+09,3.305543,7285846580.42939,22.5398862605386,-0.2003612,104.987,238.717,5.70299165043771,"0",7552.19864478736
"Romania","2003",7552.19864478736,8.38005384009368,10.2582769071124,16.0448025610991,24.2127350487918,31.9667919982326,0.739,23.1953192411743,17814610224.4267,-1.805e+09,3.32000708333333,9449445049.34238,15.2734889936255,-0.2584385,102.524,234.802,2.34114732919521,"0",8982.84504179288
"Romania","2004",8982.84504179288,15.8402829309882,9.60626847867918,14.7275942495003,25.743936265036,34.8825424019048,0.753,24.2165645026754,27557049505.3708,-6.373e+09,3.26365683333333,16095478768.38,11.8743635936399,-0.2056146,100.061,230.887,10.4281130180976,"0",9602.14943359016
"Romania","2005",9602.14943359016,11.2254421985297,11.5252065531214,16.2399747055988,24.5352206061523,34.8253288429032,0.762,22.9306854622381,33623851885.6613,-6168258156.81822,2.91365316666667,21601177535.0141,9.01491283343835,-0.3068253,97.598,226.972,4.6681480508487,"0",11541.2450618178
"Romania","2006",11541.2450618178,10.2068675477147,26.5452988239226,15.9232658405555,24.7712264990404,36.9123994274755,0.774,27.4669698502695,38795979749.9136,-10505020927.0527,2.80898333333333,30206004058.7066,6.55851412276983,-0.2101832,95.134,223.057,8.02881107599163,"0",13683.4376204046
"Romania","2007",13683.4376204046,13.8414708183355,50.9975840084707,15.3905496262431,24.710829049515,38.7943276239508,0.788,31.3370187913254,25080904174.3438,-9437017527.62591,2.43825,39974195968.9892,4.83732928313989,-0.3190752,92.671,219.142,7.23380774362805,"0",16782.0988607712
"Romania","2008",16782.0988607712,8.70237030149359,17.8461185264198,15.8811050644031,26.1553446185183,39.0194700376745,0.803,33.0931733534679,8604436911.66968,-13354821284.2976,2.51885833333333,39768375684.0995,7.85080255714483,-0.3241724,90.514,213.209,9.30746717077338,"1",16644.0389303758
"Romania","2009",16644.0389303758,-6.35110437815719,-33.9397461349053,16.1045586466913,26.0236122287219,32.4492215401029,0.806,27.1962371424524,-15137097765.3971,-4624155850.09678,3.049325,44383053889.5597,5.58742004264392,-0.3597497,88.356,207.276,-5.51739440805439,"1",16989.3070418903
"Romania","2010",16989.3070418903,-4.98797601804711,-2.75300492403308,15.4673902040531,32.3822714419377,39.0129882907659,0.805,27.1292462174642,-34399217422.228,-2978138616.07564,3.1779,48047830952.6969,6.09141668601892,-0.140585,86.199,201.342,-3.90123628018621,"0",17896.2758641785
"Romania","2011",17896.2758641785,1.06145517676512,6.08323250826972,14.2722207003562,37.0550979718903,42.9448984495873,0.806,28.1261837080971,-43647284881.0021,-2313269044.87376,3.04860833333333,48044368558.6277,5.78925328815882,-0.2061819,84.042,195.409,1.90606770748846,"0",18869.619212847
"Romania","2012",18869.619212847,1.91583637631018,3.14727198831673,14.5692685237271,37.5318245668167,42.8188045571546,0.803,27.0423189220801,-24760305890.6664,-3255018087.08516,3.4682,46711176509.7631,3.33492267693443,-0.1821148,81.884,189.475,2.04066513079732,"0",19781.9795699864
"Romania","2013",19781.9795699864,0.422531510442298,-5.90056813093688,14.2857165355472,40.0340615697363,40.9361860554189,0.808,25.4660315058496,29332502288.1955,-3915347492.2883,3.32791666666667,48827640845.6875,3.98471235548128,0.0991476,80.333,186.309,3.77096230437297,"0",20657.7070695521
"Singapore","1996",36914.2906672133,6.57911671473177,24.1142804393981,8.95385970545865,175.64311239295,159.268050895143,0.783,35.0401245569948,90226837788.1069,-2028451894.71464,1.41004083333333,76963971491.1019,1.38318052481878,1.993047,69.775,116.2,7.47137959039428,"0",37602.1779484559
"Singapore","1998",37602.1779484559,-1.93084215453506,-5.0219401888084,9.49364662390425,166.787570508849,145.291685165837,0.799,31.4900376302754,115473480425.291,-2337473771.63622,1.67360166666667,75077193404.11,-0.267502292876127,2.148715,64.809,109.781,-2.1953778262461,"0",43833.2209634865
"Singapore","2000",43833.2209634865,13.5842852629109,11.4147647621661,10.5041646441155,188.350890284751,176.013630183467,0.821,35.1740359977879,126305832135.546,-8666947672.90103,1.72396333333333,81084978988.8664,1.36162392448455,2.199069,58.464,101.838,9.03914675133963,"0",45120.4076999013
"Singapore","2002",45120.4076999013,3.44865890234212,-9.15398864025423,11.8403288872956,184.086118066532,165.659895919145,0.833,25.0736127933875,133132605241.081,-3321924916.67078,1.79058833333333,83413380412.0008,-0.391676866585079,1.854913,52.119,93.895,3.91460974541297,"0",48756.5625513753
"Singapore","2003",48756.5625513753,1.28317377980787,-5.15637260396817,11.4140839970397,202.586206389804,174.632357911778,0.842,17.2245248736318,149958961604.673,-13325692856.6646,1.74218333333333,97742808490.4118,0.507905300237539,1.947802,50.977,91.427,4.53577965386324,"0",54301.6977527417
"Singapore","2004",54301.6977527417,5.25513678381672,10.2940876801878,10.318670184588,213.951695442646,187.572017095863,0.849,22.8924616706012,174934797347.555,-11251675069.5419,1.69022833333333,114161298698.232,1.66272719863073,1.989663,49.835,88.958,9.81959167704964,"0",58717.2171494993
"Singapore","2005",58717.2171494993,4.09592112463257,3.63987399654506,9.89714323321879,225.159667736916,195.270845183643,0.874,21.506936250429,194939512235.349,-6763528544.11281,1.6643975,118061328490.524,0.425106276569101,1.958422,48.693,86.49,7.35903367713455,"0",63910.0846986138
"Singapore","2006",63910.0846986138,4.38507042201104,9.43817340397463,9.90693550272105,228.037617061062,197.325782481957,0.881,22.3792634447668,225757889277.906,-19066249895.1079,1.58893333333333,138652617421.388,0.962901778165128,2.212474,47.551,84.021,9.0051437297946,"0",68628.382588078
"Singapore","2007",68628.382588078,7.0050279115494,15.5048053428897,9.13612734398836,212.779393731371,181.509078187707,0.882,23.0659529090098,238653578451.966,-6455702501.82192,1.50710166666667,166160593181.672,2.10488003633213,2.375459,46.409,81.553,9.0221330140233,"0",67576.8628304768
"Singapore","2008",67576.8628304768,4.27628153922146,10.7558483903177,10.1132139112862,228.993770935119,208.332943955938,0.888,30.1596763689779,266180878491.927,-5633910991.24591,1.41486083333333,177543472508.27,6.62778177352127,2.436975,45.275,79.197,1.86824553416074,"1",66149.0046454714
"Singapore","2009",66149.0046454714,-0.275748142574244,5.48696635394066,9.92997384864082,190.844935011128,167.347876817714,0.888,27.3701152111674,297637759928.3,8603556831.96541,1.45451471343873,192046029172.212,0.596720257424972,2.270797,44.141,76.841,0.12098274173087,"1",75294.35655382
"Singapore","2010",75294.35655382,4.35079681035553,6.75048645412363,9.691568385966,197.998960793027,171.686594994619,0.909,27.6582275190447,308225183002.386,-19915243153.385,1.36350833333333,231259743357.534,2.82366134885609,2.241065,43.006,74.486,14.5256389940627,"0",80052.3914982651
"Singapore","2011",80052.3914982651,3.96067952631816,6.36544967705753,9.23684263701949,203.327708649538,175.770922728001,0.913,26.6919943455279,299868762016.099,-17255458936.3221,1.25777587719298,243798272471.038,5.2477933984048,2.154623,41.872,72.13,6.33787081384082,"0",82064.9611910836
"Singapore","2012",82064.9611910836,3.72339640028119,8.62966719182874,8.85786688468844,196.719612875759,172.493352911906,0.918,29.2629426703058,302896665854.491,-34830382359.0453,1.2496762037037,265910197708.28,4.57560270376522,2.165925,40.738,69.775,4.46160895101333,"0",83001.7878013707
"Singapore","2013",83001.7878013707,2.81529519382384,6.15890190030122,9.74421772737465,195.077796338143,171.963983710876,0.921,29.9795021855415,289676655683.469,-19110684887.7168,1.2513,277797711589.929,2.35860415399836,2.089236,39.676,67.973,4.83729864576097,"0",84423.1913432675
"Slovenia","2004",22742.0896727179,2.53610667137534,5.54413808924849,18.8253164186766,55.0547884264148,56.50175261216,0.864,28.7976168108594,16424152.9911964,-281500000,192.381124333333,8899759020.47717,3.59297594249513,0.9227307,70.931,152.943,4.35919277843995,"0",23852.6430383942
"Slovenia","2005",23852.6430383942,2.06615105677589,3.6125344784105,18.9082215735669,59.8112707812506,60.4513470233788,0.869,28.46096851835,2057860523.87334,88500000,192.705468,8159730011.99654,2.45150132316474,0.8928185,63.55,140.076,3.79797264198646,"0",25686.0292288631
"Slovenia","2006",25686.0292288631,1.29041927706717,10.2491746278731,18.6533028034237,64.870215419655,64.9181780394435,0.876,30.2915847019262,-426272514.119299,214495880.713874,191.028257833333,7139432999.07756,2.45792444195864,0.96356,56.615,148.874,5.746396900645,"0",27536.6834687288
"Sweden","1996",23875.2585047697,1.81620100475052,5.02465353868946,25.8357808134596,36.028866805627,30.5096415212576,0.869,20.6080041544974,68584544621.4244,-379987278.967645,6.70595583333333,20843371292.358,0.533131978766251,1.921917,58.808,94.483,1.57945640649923,"0",25886.7912323208
"Sweden","1998",25886.7912323208,3.34062114267535,7.73712404522287,25.3735766325035,40.0209948883021,34.3193963505124,0.894,21.5937071073735,-155417601262.671,4473104307.91168,7.94986816666667,15457236697.6273,-0.267132668354967,1.95586,55.904,90.303,4.31183635326269,"0",29631.1608906659
"Sweden","2000",29631.1608906659,5.4221589370102,6.49117790629892,24.5318918954833,43.2584584604537,38.2190734717217,0.903,22.9100251603824,-131826925862.023,17414879019.4224,9.16224416666667,16498728321.8885,0.899143734041743,1.962457,56.208,87.232,4.7663488714872,"0",30926.5055989396
"Sweden","2002",30926.5055989396,2.26354991467031,-1.41064876801892,25.4515967142048,41.2470904455775,35.9715602601049,0.908,22.1393999852213,-221611060661.271,-1714855120.2823,9.73712333333333,19170723588.9644,2.15848213589263,2.026078,53.316,84.604,2.1969210621746,"0",31782.0762485717
"Sweden","2003",31782.0762485717,1.64112171385942,2.41294113670001,25.7127015543631,40.3257049709808,34.9198886945354,0.913,21.9458038705392,-142061328917.049,16334968794.4065,8.08630416666667,22168538425.3524,1.92565534892387,2.082848,52.088,82.312,2.30981059032811,"0",33830.5548935291
"Sweden","2004",33830.5548935291,2.87677179317589,5.45530217138592,25.0213236265783,42.6906424082589,35.9005071737132,0.901,21.8534135822491,-164840323950.6,11329162031.6876,7.34888666666667,24768805295.0333,0.373659828721796,2.12182,50.547,81.84,4.33685615384474,"0",34244.4650156257
"Sweden","2005",34244.4650156257,3.15172554244741,4.89383534612044,24.8966508988992,45.01548061554,38.7359970795797,0.904,22.2789854268982,-57013762701.9099,17494702866.6343,7.47308833333333,24867578418.1736,0.453170852576176,1.892862,51.076,79.604,2.85880323990261,"0",37679.6951105651
"Sweden","2006",37679.6951105651,2.99348731335868,9.00251958451506,24.6292687114709,47.4874330005625,40.7079804771039,0.908,23.2559003712118,-15622912421.79,-449796007.818305,7.37824916666667,28017219694.0134,1.36021468627688,1.804315,49.434,77.773,4.66277355175126,"0",40855.4999180551
"Sweden","2007",40855.4999180551,3.98779923998961,8.28030708802,24.1465624263992,47.6102603456699,41.5518218655185,0.91,24.8815008863716,161685517379.5,9747824804.71781,6.75877,31033035734.4712,2.21216883436735,2.025398,47.552,77.631,3.43922177600065,"0",42158.2956995539
