"","Country Name","Year","GDP Per Capita PPP","Private Expenditure Consumption (% growth)","Gross Fixed Investment (% growth)","Govt Expenditure Consumption (% GDP)","Exports of G&S (% GDP)","Imports of G&S (% GDP)","Human Development Index","Gross Capital Formation","Net foreign asset","Net FDI (BOP)","Exchange Rate","Total Reserves","Inflation Rate","Govt Effectiveness","Female Adult Mortality Rate","Male Adult Mortality Rate","Real GDP (% growth)","major.event","GDP Per Capita PPP (Year+1)"
"207","Costa Rica","2012",14321.5183739037,7.2549272128015,8.58547311919267,16.7900477026452,31.6513173343637,35.3972219579111,0.783,19.8541955071342,2473089531494.44,-1802734886.36724,502.901461981567,6856696345.8603,4.49545314354611,0.5000104,61.924,118.814,4.882592368743,"0",15005.919357078
"208","Costa Rica","2013",15005.919357078,1.90705605996828,4.83792938484842,17.1301891401507,30.5916493612524,33.4747612266918,0.788,19.5904601620008,2136803611172.58,-2401451080.39294,499.766832565284,7330880578.95384,5.23133614174423,0.4822477,61.128,116.479,2.49476610782379,"0",16067.3307687826
"209","Dominica","2000",6516.29143017317,NA,NA,NA,43.3355176205338,54.9007630196475,0.703,NA,65721861.248598,-17596296.2962963,2.7,29372786.7374406,0.856946805358478,0.4698392,105,183,2.3402193206939,"0",6551.18517229743
"210","Dominican Republic","1996",5238.82644733754,3.58701713294063,14.1121304967564,5.18260695477951,34.8867097256752,37.755781144158,0.636,20.0542675368915,-7165944405.68001,-96500000,12.8963492063492,357007063.780119,5.39929385038917,-0.2232384,150.529,232.937,5.97782511434266,"0",6062.52134609187
"211","Dominican Republic","1998",6062.52134609187,3.09001936574143,35.6768923719389,7.32181826197706,34.3098842791,41.6014184344939,0.648,28.0693783386682,-6484318104.6979,-699800000,14.7031108444695,507121243.385005,4.83166558591895,-0.520857,146.646,232.133,6.71447771177176,"0",6760.12887876537
"212","Dominican Republic","2000",6760.12887876537,3.34536843448856,15.6060025469777,8.72035116834374,35.4978251417642,43.8025679543791,0.659,27.8926622004107,-8185057775.18107,-952900000,16.1814576782866,632133042.125822,7.72413566181619,-0.3161646,142.882,231.02,4.6617622800146,"0",7295.05736783111
"213","Dominican Republic","2002",7295.05736783111,3.74053469358802,6.59147394554532,9.97161491189806,30.724010155589,37.9992727472887,0.668,26.9567556785451,-9748114267.70601,-916800000,17.5930436887674,474683747.71139,5.22336769759445,-0.3928855,139.118,229.907,4.49510340292099,"0",7226.72128148795
"214","Dominican Republic","2003",7226.72128148795,-2.6128060942567,-15.2785663972686,8.63688299618643,42.1529981602708,42.2965050258884,0.669,19.4091627404806,-7607991630.30504,-612990000,29.3699996161352,279543949.78349,27.4497127394394,-0.5437886,137.428,227.735,-1.34570618506442,"0",7506.73376097639
"215","Dominican Republic","2004",7506.73376097639,2.71903296477048,1.53316003402266,7.58809384193007,41.1474766418853,40.2039462963058,0.672,20.6273486504175,27604495333.4356,-909040000,41.9303145729387,826423250.968921,51.4608598338066,-0.680542,135.737,225.564,2.57013427930197,"0",8356.00840221911
"216","Dominican Republic","2005",8356.00840221911,12.6006166595724,13.8033540159158,8.08939077915312,28.3311381514539,33.3224205843488,0.681,24.7730711459319,49144839214.8448,-1122700000,30.2828081770082,1929853894.76764,4.19020260472054,-0.5511778,134.046,223.393,9.4282369467968,"0",9274.89754992466
"217","Dominican Republic","2006",9274.89754992466,9.0726894850428,22.2297325750796,8.78702467164024,28.2249162691947,35.5415663659558,0.688,26.9268715003108,68444011547.0176,-1084600000,33.300035201723,2275420935.30921,7.57280523853076,-0.5851245,132.356,221.222,9.1743554058408,"0",10098.6989654173
"218","Dominican Republic","2007",10098.6989654173,5.80106065578447,13.1905762696074,9.17706784303049,26.7620220119612,35.1852086651157,0.694,28.3513909825073,99413523114.1612,-1667400000,33.1718705755495,3044764601.31634,6.14356655248045,-0.6747107,130.665,219.051,7.41595171481455,"0",10491.6151457835
"219","Dominican Republic","2008",10491.6151457835,5.44257191778752,6.31220525478919,10.0566202626498,23.9067364940618,37.4853165972225,0.698,30.023722552064,92111256531.8695,-2.87e+09,34.5293609573506,2694510025.16656,10.6446210953712,-0.6196099,129.108,216.989,3.20950426157958,"1",10539.3989175546
"220","Dominican Republic","2009",10539.3989175546,5.594534810017,-14.5995993052893,10.7055663766325,21.0309281003904,29.5813545046849,0.7,23.5734833499722,97846715201.4469,-2165400000,35.97186554526,3580178695.74604,1.44215131834352,-0.6126065,127.55,214.927,0.946155167790621,"1",11410.3534599665
"221","Dominican Republic","2010",11410.3534599665,6.87291553082603,17.2806708142293,9.92711136577918,22.6757522059548,33.3241838654991,0.706,26.3799659306279,87196363497.3269,-2023700000,36.8212918670815,3874458746.77531,6.32993220146144,-0.6435624,125.992,212.865,8.33965105962218,"0",11869.1230948161
"222","Dominican Republic","2011",11869.1230948161,4.33091530820423,-2.23579708305483,9.32214404605185,24.186975308385,34.8026905899502,0.71,25.0262554165433,83158097650.2162,-2276700000,38.0875848668099,4114429337.35283,5.79676809206526,-0.5907066,124.435,210.803,3.13342300326755,"0",11900.4850051553
"223","Dominican Republic","2012",11900.4850051553,1.89955171834953,-0.456104577889477,9.88614641231318,24.583177865511,33.8054960193236,0.714,24.2957445419273,70444782269.2236,-3142400000,39.3203008432258,3558641726.41412,3.69449707884785,-0.5103254,122.877,208.741,2.71736789670562,"0",12482.1621152034
