"Country Name","Year","GDP Per Capita PPP","Private Expenditure Consumption (% growth)","Gross Fixed Investment (% growth)","Govt Expenditure Consumption (% GDP)","Exports of G&S (% GDP)","Imports of G&S (% GDP)","Human Development Index","Gross Capital Formation","Net foreign asset","Net FDI (BOP)","Exchange Rate","Total Reserves","Inflation Rate","Govt Effectiveness","Female Adult Mortality Rate","Male Adult Mortality Rate","Real GDP (% growth)","major.event","GDP Per Capita PPP (Year+1)"
"Botswana","2008",13552.6333716045,17.258543305579,3.33447633278701,20.3512591725774,45.6739672040412,51.0419431315907,0.641,41.6796363754787,72780064275.7806,-612317045.161086,6.82685833333333,9118641527.54695,12.7021883920075,0.5673319,360.343,465.814,6.24543736290879,"1",12366.5540206239
"Botswana","2009",12366.5540206239,5.53287529393995,9.49045906391719,21.0895434476663,34.8009489474016,51.8850709578167,0.65,30.8321139992273,59270634844.7704,-200878584.290784,7.15514166666667,8703960321.12573,8.02729703109583,0.4725233,330.611,444.422,-7.65231020253476,"1",13352.2879340646
"Botswana","2010",13352.2879340646,8.61898564680088,9.17657497572513,19.7565054772666,43.6354639580853,51.264331380595,0.663,38.0530413152844,52550355790.4382,-217483477.377689,6.793625,7885215351.92874,6.94887658743105,0.4472114,300.88,423.03,8.5636307922089,"0",14252.6847646291
"Botswana","2011",14252.6847646291,7.87683407784465,12.1520744320688,18.4867085750109,49.9505346060796,53.5950432716057,0.677,35.4535602560268,63609741833.3193,-302916735.473587,6.83823333333333,8081885901.07054,8.45987233408587,0.4605181,271.148,401.638,6.04836145468988,"0",13590.5155297994
"Botswana","2012",13590.5155297994,-1.35466900509809,13.6148363697617,19.2914268767361,49.2507437982269,61.404151211328,0.689,38.0828313721074,63682285604.092,-138128417.222638,7.640525,7627972585.34516,7.53690261091916,0.4820989,241.416,380.246,4.45614447059577,"0",14707.5949596616
"Botswana","2013",14707.5949596616,10.0954475262326,2.01895968111356,18.5483071902364,61.5226396573676,61.0309424072758,0.701,29.4090756081791,71941166937.2219,17496214.021862,8.39890833333333,7726052459.97927,5.8846070705681,0.414095,225.82,354.351,11.3433969713497,"0",16300.829510516
"Brazil","1996",8288.1792519133,3.06392956379567,0.798462509691106,19.7508265161778,6.73020968312685,8.90538179274132,0.658,17.2669463759545,30956241252.4613,-1.1667e+10,1.0051,60152476087.583,15.7576656002606,-0.1431337,139.489,267.643,2.20753552677458,"0",8575.87335640545
"Brazil","1998",8575.87335640545,-0.720013660333606,-0.163840780536091,20.0705315848897,7.03050033871807,9.40808459248784,0.67,18.1647519194741,-12606404527.3869,-26001596916.42,1.16051666666667,44487193726.0979,3.19507629280056,-0.0804911,132.65,257.794,0.338097902952427,"0",9060.78645123681
"Brazil","2000",9060.78645123681,4.03263241004016,4.81319160042185,18.7678457444131,10.1880480043795,12.4517133524146,0.685,18.9031192683871,3713963772.33929,-30497652699.75,1.82942312207561,33015297295.6899,7.04414105947266,0.0940802,125.46,247.531,4.38794944267383,"0",9568.06368751792
"Brazil","2002",9568.06368751792,1.31884705494474,-1.44377480179664,19.8096623456372,14.2305902713775,13.3877671308534,0.699,17.4490794834956,-55125612064.9617,-14108096193.114,2.92036301775519,37832146718.419,8.4501643770833,0.0559796,118.269,237.267,3.05346185795257,"0",9733.77092355656
"Brazil","2003",9733.77092355656,-0.545992777760461,-3.98451236933465,19.0774784933715,15.1807837086861,12.9596010144732,0.695,16.8566884007152,-11465638885.7213,-9894224670.99009,3.07747511847801,49297286966.3089,14.7149197228147,0.1975102,115.955,233.267,1.14082899810009,"0",10445.3446240145
"Brazil","2004",10445.3446240145,3.9234940897198,8.48696339565629,18.4675839197143,16.5457615119353,13.1324909668183,0.698,17.9125683422575,7414276686.51288,-8338896459.75335,2.92511944951586,52934865185.6722,6.59718509985962,0.0195322,113.64,229.267,5.75996463871775,"0",10988.9583886751
"Brazil","2005",10988.9583886751,4.42187781382211,1.95630091457377,18.890001423066,15.2438292665623,11.8429659423762,0.7,17.2048834771385,78694469445.8833,-12549590734.979,2.43439003623188,53799284976.6775,6.86953720898965,-0.0963305,111.325,225.268,3.20213137990235,"0",11642.4441322339
"Brazil","2006",11642.4441322339,5.28469938185864,6.66078833416381,19.0389169374901,14.3743163008972,11.6673835813384,0.702,17.8164738964017,132220688439.852,9380283047.0622,2.17532666666667,85842861115.1295,4.18356812896902,-0.3203326,109.011,221.268,3.96198872184988,"0",12549.9278491047
"Brazil","2007",12549.9278491047,6.37627068163236,11.9524078990719,18.9429876148938,13.327675103099,11.9649362669047,0.706,19.8193259705999,235267914767.511,-27518241273.2648,1.94705833333333,180333622535.832,3.64127299102654,-0.2142833,106.696,217.268,6.0698706077184,"0",13312.7634156723
"Brazil","2008",13312.7634156723,6.46426515069916,12.2869579300339,18.8393928751789,13.5340005119683,13.7235689068504,0.717,21.6193828366983,343073612014.164,-24601090273.6125,1.83376666666667,193783363540.649,5.67859390284171,-0.0895778,105.214,214.047,5.09419544732717,"1",13269.1187769759
"Brazil","2009",13269.1187769759,4.45639648445035,-2.1338748324121,19.6506384048096,10.8513711314233,11.2546044679462,0.719,18.7961350502449,349590929494.032,-36032805800,1.99942817314426,238539464848.441,4.88803479876804,-0.0947754,103.733,210.825,-0.125811999414864,"1",14299.5515511075
"Brazil","2010",14299.5515511075,6.22932673394376,17.853921431023,19.0168578433479,10.8655847746965,11.9065933373084,0.727,21.8013215651568,376382792254.515,-55626921872.6,1.75922671058718,288574623536.622,5.03872690108066,-0.0354277,102.251,207.604,7.52822583005563,"0",15040.0576497945
"Brazil","2011",15040.0576497945,4.81826743060108,6.83326889288247,18.6692612000646,11.5825153248769,12.3518953217282,0.731,21.8262760943346,486299957661.933,-86360111204.54,1.67282875525659,352010222755.829,6.63644962213085,-0.116579,100.77,204.383,3.97442540583816,"0",15046.2901818178
"Brazil","2012",15046.2901818178,3.49950195849243,0.779095101177774,18.530103265791,11.8775598368351,13.2367345412855,0.735,21.4172253653349,551275377084.81,-90485123670.43,1.95306861112487,373160977539.732,5.40349914037009,-0.1282682,99.288,201.161,1.92115031836305,"0",15588.7261289148
"Brazil","2013",15588.7261289148,3.47117235416916,5.82733840794978,18.8924602451901,11.7422306432624,14.0437454364237,0.753,21.6937669402108,667191929880.571,-59567525424.58,2.15608915126311,358816422466.118,6.204310666401,-0.0930665,97.893,198.648,3.00484630505706,"0",15718.5649500141
"Brunei Darussalam","2002",70717.7790012773,0.708490323767208,43.2131100513479,27.1697936773804,67.1218302942605,41.6261387879542,0.807,21.2597243612677,5112082381.60505,-229671955.675395,1.79058833333333,448994000.486639,-2.3149724245932,0.8949295,85.11,118.704,3.87209696704298,"0",72755.3211265061
"Brunei Darussalam","2003",72755.3211265061,15.8098558140405,-20.9819503504627,24.0677854177388,69.289251837004,35.9692157314985,0.813,15.0554608019021,6124576608.61366,-123820911.146426,1.74218333333333,474743404.017911,0.299999999999977,0.7458653,83.316,116.513,2.90395547653115,"0",73808.3213789057
