"Country Name","Year","GDP Per Capita PPP","Private Expenditure Consumption (% growth)","Gross Fixed Investment (% growth)","Govt Expenditure Consumption (% GDP)","Exports of G&S (% GDP)","Imports of G&S (% GDP)","Human Development Index","Gross Capital Formation","Net foreign asset","Net FDI (BOP)","Exchange Rate","Total Reserves","Inflation Rate","Govt Effectiveness","Female Adult Mortality Rate","Male Adult Mortality Rate","Real GDP (% growth)","major.event","GDP Per Capita PPP (Year+1)"
"Albania","1998",3020.93057263444,-5.3521137871461,12.809575131885,10.8442698256178,11.4671124664384,36.6702827224881,0.655,19.7425812412737,83030726075.0696,-45010000,150.633333333333,417921457.174903,20.6428588670596,-0.6313924,69.539,134.877,8.83008770869769,"0",3862.48437763265
"Albania","2000",3862.48437763265,6.19659329988671,42.6254249208768,9.69235791955606,20.1153637600108,43.3388742463348,0.671,30.7962591863962,130080322627.08,-1.43e+08,143.709416666667,646305676.491804,0.0500181363468379,-0.7551177,65.051,124.34,6.95003613422918,"0",4661.37914319822
"Albania","2002",4661.37914319822,7.16852705965103,5.1713095711505,11.3350777231701,20.9456511360868,47.5794801481102,0.684,35.2640459672128,164323898702.29,-1.35e+08,140.154515875,866478231.283188,7.77052583431552,-0.5333483,60.562,113.802,4.53996064044722,"0",4994.92469274671
"Albania","2003",4994.92469274671,10.3801544409463,7.88500650748858,11.0983969133065,20.8474513850141,46.1731851587618,0.691,33.8968868065619,161812641078.739,-178036400.666667,121.86325,1038294231.23302,0.484002611818479,-0.5382094,60.346,112.225,5.5300507779332,"0",5423.20168382235
"Albania","2004",5423.20168382235,3.69210758582246,11.7981258761898,11.2059076895714,22.2175512676614,44.8295956019039,0.696,34.1967670412024,188807245450.912,-327681210.171408,102.780051196172,1387912853.56432,2.28001916938099,-0.4158677,60.13,110.647,5.5099986931984,"0",5865.31759085604
"Albania","2005",5865.31759085604,6.39255496121878,7.05847412882787,11.0312184015481,23.0129901117958,47.8593145289499,0.706,36.8696660470205,210787008285.198,-258417488.710474,99.8702544808992,1439592137.1131,2.36658195679796,-0.6594524,59.914,109.069,5.52991480926491,"0",6557.80133674236
"Albania","2006",6557.80133674236,6.90801755040971,7.56958357735104,10.5272493337325,25.2095968180952,49.0574975155692,0.713,35.6975146295823,233227456087.322,-314638316.803697,98.1033770912698,1812802559.88129,2.37072831904282,-0.5236022,59.697,107.492,5.90008395738064,"0",7274.52468523841
"Albania","2007",7274.52468523841,12.7317413241011,4.6365491077057,10.4774822838859,28.2478672596633,54.9541941704504,0.722,34.4619785970732,232443325345.253,-647365283.80649,90.4278938310708,2161936583.38148,2.9326824816232,-0.4066241,59.481,105.914,5.97998203625438,"0",8228.32755984622
"Albania","2008",8228.32755984622,10.1265468978192,4.41658519753867,10.37896601854,25.3024021398457,52.1493004309663,0.728,35.7784370256008,206635854264.467,-881244175.083486,83.8946041005291,2363791896.73249,3.36313757366387,-0.3567637,58.217,106.004,7.49996956029166,"1",8819.51009173416
"Albania","2009",8819.51009173416,0.71509698542522,0.976404220332185,11.1094360972272,25.2407157401832,49.8541244540949,0.733,34.5578335598682,244388336662.246,-950761387.622092,94.9781198203843,2368942443.29456,2.23139683475871,-0.2578982,56.953,106.094,3.35006652793865,"1",9636.10870469977
